session_date,rows,first_time_et,last_time_et,exact_spx_1459,exact_spx_1559,missing_spx_final_120m,missing_vix_final_120m,max_vix_staleness_final_120m,vix_1359_valid,vix_1429_valid,vix_1444_valid,vix_1459_valid,strict_eligible,relaxed_eligible,strict_reason,relaxed_reason
2024-08-22,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2024-11-11,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,False,True,False,False,2 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1444_valid
2024-11-29,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False,session length 211; no exact SPX 14:59; no exact SPX 15:59,"session length 211; no exact SPX 14:59; no exact SPX 15:59; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2024-12-24,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False,session length 211; no exact SPX 14:59; no exact SPX 15:59,"session length 211; no exact SPX 14:59; no exact SPX 15:59; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2025-07-03,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False,session length 211; no exact SPX 14:59; no exact SPX 15:59,"session length 211; no exact SPX 14:59; no exact SPX 15:59; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2025-07-10,390,09:30:00,15:59:00,True,True,0,10,120.0,True,True,True,True,False,False,10 missing VIX observations in final 120m,10 missing VIX observations exceeds relaxed limit
2025-07-17,390,09:30:00,15:59:00,True,True,0,3,120.0,True,True,False,True,False,False,3 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1444_valid
2025-07-21,390,09:30:00,15:59:00,True,True,0,6,120.0,True,True,True,True,False,False,6 missing VIX observations in final 120m,6 missing VIX observations exceeds relaxed limit
2025-07-24,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,False,False,False,1 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1459_valid
2025-10-01,390,09:30:00,15:59:00,True,True,0,1,120.0,False,True,True,True,False,False,1 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1359_valid
2025-10-22,390,09:30:00,15:59:00,True,True,0,7,120.0,True,True,True,True,False,False,7 missing VIX observations in final 120m,7 missing VIX observations exceeds relaxed limit
2025-10-27,390,09:30:00,15:59:00,True,True,0,3,120.0,False,True,True,True,False,False,3 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1359_valid
2025-11-28,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False,session length 211; no exact SPX 14:59; no exact SPX 15:59,"session length 211; no exact SPX 14:59; no exact SPX 15:59; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2025-12-23,390,09:30:00,15:59:00,True,True,0,5,120.0,True,False,True,True,False,False,5 missing VIX observations in final 120m,invalid VIX feature endpoints: vix_1429_valid
2025-12-24,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False,session length 211; no exact SPX 14:59; no exact SPX 15:59,"session length 211; no exact SPX 14:59; no exact SPX 15:59; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
