session_date,rows,first_time_et,last_time_et,exact_spx_1459,exact_spx_1559,missing_spx_final_120m,missing_vix_final_120m,max_vix_staleness_final_120m,vix_1359_valid,vix_1429_valid,vix_1444_valid,vix_1459_valid,strict_eligible,relaxed_eligible
2024-07-18,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-07-19,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-07-22,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-07-23,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-07-24,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-07-25,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-07-26,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-07-29,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-07-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-07-31,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-01,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-02,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-05,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-06,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-07,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-08,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-09,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-12,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-13,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-14,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-15,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-16,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-19,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2024-08-20,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-21,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-22,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False
2024-08-23,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-26,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-27,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-28,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-08-29,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-08-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-03,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-09-04,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-09-05,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-09-06,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-09-09,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-09-10,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-11,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-09-12,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-13,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-16,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-09-17,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-09-18,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-19,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-20,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-23,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-24,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-25,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-26,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-09-27,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-09-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-01,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-10-02,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-10-03,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-10-04,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-07,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-10-08,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-09,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-10,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-11,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-14,390,09:30:00,15:59:00,True,True,0,4,120.0,True,True,True,True,False,True
2024-10-15,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-16,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-10-17,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-10-18,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-10-21,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-10-22,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2024-10-23,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-24,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-10-25,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-28,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-29,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-10-31,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-01,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-11-04,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-05,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-06,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-07,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-11-08,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2024-11-11,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,False,True,False,False
2024-11-12,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-13,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2024-11-14,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-15,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-11-18,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-19,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-11-20,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-21,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-22,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-25,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-26,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2024-11-27,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-11-29,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False
2024-12-02,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2024-12-03,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-12-04,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2024-12-05,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-12-06,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-12-09,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-12-10,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2024-12-11,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2024-12-12,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-12-13,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2024-12-16,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2024-12-17,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-12-18,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-12-19,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-12-20,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2024-12-23,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-12-24,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False
2024-12-26,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-12-27,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-12-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2024-12-31,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-02,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-01-03,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-06,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-07,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-08,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-01-10,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-13,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-14,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-15,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-16,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-01-17,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-01-21,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-01-22,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-01-23,390,09:30:00,15:59:00,True,True,0,2,120.0,True,True,True,True,False,True
2025-01-24,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-27,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-01-28,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-29,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-01-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-01-31,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-03,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-02-04,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-02-05,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-02-06,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-07,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-10,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-02-11,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2025-02-12,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-13,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-02-14,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,True,False,True
2025-02-18,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-02-19,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-20,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-21,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-02-24,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-25,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-02-26,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-02-27,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-02-28,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-03,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-04,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-05,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-06,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-07,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-10,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-11,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-12,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-13,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-14,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-03-17,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-03-18,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-19,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-03-20,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-21,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-03-24,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-03-25,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-03-26,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-27,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-28,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-03-31,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-01,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-02,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-03,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-04,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-07,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-08,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-09,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-04-10,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-04-11,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-14,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-15,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-16,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-17,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-21,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-22,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-04-23,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
