feature,missing_values,missing_pct,unique_values,minimum,p01,median,p99,maximum,standard_deviation,constant,near_constant
spx_at_1500,0,0.0,680,3876.79,3941.4503,5724.995,7526.0278,7572.05,1024.8191570058943,False,False
vix_level_1500,0,0.0,511,11.94,12.4153,17.215,35.51330000000003,50.17,4.379175867498412,False,False
spy_at_1500,0,0.0,673,387.44,393.2788,570.6005,750.3518,755.583,102.11064896962576,False,False
ret_open_to_1500,0,0.0,680,-0.037053063599980396,-0.018206131809265513,-0.00025864423371096956,0.016648606536144854,0.07314189733509502,0.007377587987355767,False,False
ret_last_15m,0,0.0,679,-0.007059376542917661,-0.005236572272984214,-2.2575333888941174e-06,0.0029825193791751022,0.005142284458046875,0.001281374312779755,False,False
ret_last_30m,0,0.0,680,-0.013974911037626159,-0.004615263891763578,8.278475334122515e-05,0.005229259476180757,0.00814348709309809,0.0017471836665172193,False,False
ret_last_60m,0,0.0,680,-0.015158039221509045,-0.007359806929522504,0.00010514094534785912,0.007165972330552342,0.013301619907382545,0.002659531281894392,False,False
vix_ret_last_15m,0,0.0,660,-0.0570510245078345,-0.029460881058096175,-0.0015485604581981227,0.03378916151232198,0.09673590504451024,0.011656874785587076,False,False
vix_ret_last_30m,0,0.0,655,-0.07487027427724235,-0.04136681299385436,-0.00310318262795517,0.044722462923676064,0.11661631419939567,0.015614493650251495,False,False
vix_ret_last_60m,0,0.0,668,-0.12390312390312397,-0.06690159989601098,-0.004678855985734032,0.07080287584146332,0.21899736147757265,0.024582587305626447,False,False
realized_vol_30m,0,0.0,680,0.00042094148408206944,0.0004916979126160635,0.001244831370144211,0.006068278272324288,0.009993712844051218,0.0010572799819506362,False,False
realized_vol_60m,0,0.0,680,0.0006082180621652886,0.0007377541600230315,0.00181096011044031,0.007501599747175508,0.014785777960907444,0.0014394762549184111,False,False
realized_vol_120m,0,0.0,680,0.0008375751417809805,0.001188776466351449,0.00264905347899704,0.010190436240314044,0.042538293075860455,0.002360356167383776,False,False
rv_open_to_1500,0,0.0,680,0.0021769275390290626,0.002873301209304759,0.0053779286489492525,0.01792258590272274,0.052777922143185,0.0035268807629837166,False,False
spy_ret_open_to_1500,0,0.0,680,-0.03865021270072433,-0.018394698141799833,-0.00019692106480090343,0.017453082492484253,0.0759768158236056,0.007422700386323845,False,False
spy_volume_last_30m,0,0.0,680,991175.0,1158457.02991444,3339278.317133,12669625.930000013,18076424.0,2218701.4655568902,False,False
spy_volume_last_60m,0,0.0,680,2180671.0,2515751.64,6750762.0,22425864.27000001,33558330.0,3981497.9342611134,False,False
spy_cum_volume_to_1500,0,0.0,680,15177340.0,17207472.52,43380427.5,110948836.33000003,188440560.0,18659383.25598464,False,False
spy_volume_accel_60m_vs_avg,0,0.0,680,-0.6149853890406459,-0.5216518034991363,-0.16972527601073129,2.281795418114351,3.935139755367328,0.47329966234086535,False,False
spy_dist_from_vwap_pct,0,0.0,680,-0.021804132143999455,-0.010992644955839147,0.00020922204720552617,0.008428632006167813,0.03119108225764089,0.003924249259892695,False,False
position_in_day_range,0,0.0,679,0.0,0.005651171213356065,0.5474695638963747,0.9917313927991522,1.0,0.3141547301662195,False,False
dist_from_day_high_pct,0,0.0,679,-0.04401164126231372,-0.023159271071493435,-0.0034012851365212704,-7.917391007442368e-05,0.0,0.005059757674627186,False,False
dist_from_day_low_pct,0,0.0,680,0.0,5.8908960336832015e-05,0.004228371414304322,0.020928185648182374,0.07679607471460637,0.005372979572893684,False,False
dist_from_open_pct,0,0.0,680,-0.037053063599980396,-0.018206131809265513,-0.00025864423371096956,0.016648606536144854,0.07314189733509502,0.007377587987355767,False,False
momentum_accel_60m_vs_prior,0,0.0,680,-0.07449638655593382,-0.009908876984047658,-3.705880428572783e-05,0.01067499091454925,0.019914354281194147,0.004745198188457909,False,False
atr_open_to_1500,0,0.0,680,0.9263333333333487,1.030152121212093,1.9564242424242586,6.277809393939386,15.38369696969695,1.237059854443998,False,False
observations_before_1500,0,0.0,1,330.0,330.0,330.0,330.0,330.0,0.0,True,True
missing_spx_before_1500,0,0.0,2,0.0,0.0,0.0,0.0,75.0,2.876118708177639,False,True
missing_vix_before_1500,0,0.0,9,1.0,1.0,1.0,5.0,19.0,1.0899865559695694,False,False
