research_question,feature_group,mean_importance_per_feature,between_fold_std,positive_fold_share
RQ1 Direction,VIX,0.01259417876979224,0.009158907536598726,1.0
RQ1 Direction,SPX momentum,0.007054070241323304,0.002502689048373804,1.0
RQ1 Direction,Price position,0.00663173034433856,0.0014776566548975,1.0
RQ1 Direction,True range,0.006073143120426557,0.0038667662874025304,1.0
RQ1 Direction,Realised volatility,0.005335589307928195,0.004666111186832672,1.0
RQ1 Direction,SPY volume,-0.0008703187981674772,0.005155993415896926,0.3333333333333333
RQ2 Magnitude,True range,0.2695121201909794,0.3478425471153419,1.0
RQ2 Magnitude,Realised volatility,0.14831584778041954,0.15960057912343642,0.6666666666666666
RQ2 Magnitude,VIX,0.06314550060383221,0.0968886729990499,1.0
RQ2 Magnitude,Price position,0.03301043937573537,0.03649454257744715,1.0
RQ2 Magnitude,SPX momentum,0.023510750029892665,0.03928499628875861,0.6666666666666666
RQ2 Magnitude,SPY volume,-0.015329940713519466,0.03939908658613303,0.3333333333333333
RQ3 Large Movement,True range,0.05151604584803477,0.009824110463018176,1.0
RQ3 Large Movement,Realised volatility,0.017383297418963304,0.0019469268900880036,1.0
RQ3 Large Movement,SPY volume,0.007776285036782169,0.04133149927508963,0.3333333333333333
RQ3 Large Movement,VIX,-0.0017183003961582198,0.024648029661650965,0.6666666666666666
RQ3 Large Movement,Price position,-0.006614196672688657,0.0036851458471749473,0.0
RQ3 Large Movement,SPX momentum,-0.008565482006757467,0.02008331685386272,0.3333333333333333
