research_question,feature,feature_group,outer_folds,mean_importance,between_fold_std,mean_within_fold_std,positive_fold_share,top_five_fold_count
RQ1 Direction,vix_ret_last_30m,VIX,3,0.01438408157829927,0.006226201106642671,0.007502425343178962,1.0,3
RQ1 Direction,vix_level_1500,VIX,3,0.013379946075864957,0.01814893779141059,0.010425507456407787,0.6666666666666666,2
RQ1 Direction,vix_ret_last_60m,VIX,3,0.011765748831205304,0.01314676474543154,0.005992822277401969,1.0,1
RQ1 Direction,position_in_day_range,Price position,3,0.011627600045769659,0.004752413238435612,0.012366022131006509,1.0,2
RQ1 Direction,vix_ret_last_15m,VIX,3,0.010846938593799425,0.0019120841130382846,0.008834926902595706,1.0,2
RQ1 Direction,ret_last_60m,SPX momentum,3,0.00932512466395966,0.0038096364675520183,0.006894392260735742,1.0,1
RQ1 Direction,ret_last_30m,SPX momentum,3,0.009177824989883133,0.0068400424945771355,0.005660567919558701,1.0,1
RQ1 Direction,ret_open_to_1500,SPX momentum,3,0.007931683956879189,0.002789827118364086,0.008806320694258652,1.0,1
RQ1 Direction,realized_vol_30m,Realised volatility,3,0.006890964582523781,0.009308618369407015,0.00801873917068701,0.6666666666666666,1
RQ1 Direction,atr_pct_open_to_1500,True range,3,0.006073143120426557,0.0038667662874025304,0.008168126459068106,1.0,1
RQ1 Direction,rv_open_to_1500,Realised volatility,3,0.005511545258152447,0.0025986373533635546,0.00586519806766355,1.0,0
RQ1 Direction,dist_from_day_low_pct,Price position,3,0.0054496403265060075,0.0007918098358912762,0.008822217208347466,1.0,0
RQ1 Direction,spy_dist_from_vwap_pct,Price position,3,0.00537829375944428,0.005065191618473421,0.0070370446001126645,0.6666666666666666,0
RQ1 Direction,realized_vol_60m,Realised volatility,3,0.005016605156977292,0.002800224905633191,0.0064330147762221195,1.0,0
RQ1 Direction,ret_last_15m,SPX momentum,3,0.004495243526392134,0.004774642768477675,0.005793145015886121,0.6666666666666666,0
RQ1 Direction,momentum_accel_60m_vs_prior,SPX momentum,3,0.004340474069502402,0.002933643726423816,0.006064140189920073,1.0,0
RQ1 Direction,dist_from_day_high_pct,Price position,3,0.004071387245634297,0.005391372203777251,0.008950666547467482,0.6666666666666666,0
RQ1 Direction,realized_vol_120m,Realised volatility,3,0.003923242234059264,0.004562454826483211,0.007228107043791181,0.6666666666666666,0
RQ1 Direction,spy_cum_volume_to_1500,SPY volume,3,0.0015341369332219077,0.007444698786065389,0.00978425593671827,0.6666666666666666,0
RQ1 Direction,spy_volume_last_30m,SPY volume,3,0.0006693624805923781,0.0017840830794074248,0.006958480815160374,0.6666666666666666,0
RQ1 Direction,spy_volume_accel_60m_vs_avg,SPY volume,3,-0.0008957895659622222,0.007297011752027602,0.0074574068201570184,0.3333333333333333,0
RQ1 Direction,spy_volume_last_60m,SPY volume,3,-0.004788985040521972,0.007587822532299527,0.007570199776922016,0.3333333333333333,0
RQ2 Magnitude,atr_pct_open_to_1500,True range,3,0.2695121201909794,0.3478425471153419,0.09897297854619158,1.0,2
RQ2 Magnitude,realized_vol_60m,Realised volatility,3,0.16498949189151776,0.1985690420154005,0.10813017670668917,0.6666666666666666,2
RQ2 Magnitude,vix_level_1500,VIX,3,0.15794581860260337,0.262387657051727,0.07549809536769954,0.6666666666666666,2
RQ2 Magnitude,realized_vol_30m,Realised volatility,3,0.15755017177483518,0.19248840332368197,0.11221459794010295,0.6666666666666666,2
RQ2 Magnitude,rv_open_to_1500,Realised volatility,3,0.14517425293797478,0.16189840245955336,0.08728310091189677,1.0,3
RQ2 Magnitude,realized_vol_120m,Realised volatility,3,0.12554947451735052,0.1293934911917883,0.0980607977839396,1.0,2
RQ2 Magnitude,momentum_accel_60m_vs_prior,SPX momentum,3,0.07530641830769354,0.11537572826329687,0.053848110251567737,1.0,0
RQ2 Magnitude,dist_from_day_low_pct,Price position,3,0.05231781581481417,0.06569863174879377,0.043681262496064105,1.0,1
RQ2 Magnitude,dist_from_day_high_pct,Price position,3,0.050333654347240075,0.060708594455952815,0.048836493622420714,1.0,0
RQ2 Magnitude,ret_last_15m,SPX momentum,3,0.04774691096034675,0.07377601580779097,0.06310216132412443,0.6666666666666666,1
RQ2 Magnitude,vix_ret_last_30m,VIX,3,0.043837125038811264,0.06819142545065146,0.047513707266064055,0.6666666666666666,0
RQ2 Magnitude,vix_ret_last_15m,VIX,3,0.03765574698483807,0.0438347494879567,0.06464462170323891,0.6666666666666666,0
RQ2 Magnitude,spy_dist_from_vwap_pct,Price position,3,0.014997241457469486,0.01534777520594851,0.03194411904302119,0.6666666666666666,0
RQ2 Magnitude,position_in_day_range,Price position,3,0.014393045883417757,0.01730551790246093,0.023822822335829958,0.6666666666666666,0
RQ2 Magnitude,vix_ret_last_60m,VIX,3,0.013143311789076151,0.021043020638923087,0.04825100177807068,0.6666666666666666,0
RQ2 Magnitude,ret_last_60m,SPX momentum,3,0.012893914724898002,0.028075734415087518,0.024092189602047842,0.3333333333333333,0
RQ2 Magnitude,spy_volume_accel_60m_vs_avg,SPY volume,3,0.005028760514526072,0.1404828048836439,0.061243498916307405,0.3333333333333333,0
RQ2 Magnitude,spy_cum_volume_to_1500,SPY volume,3,-0.008238496116672126,0.016886393328327868,0.027401167155528677,0.6666666666666666,0
RQ2 Magnitude,ret_open_to_1500,SPX momentum,3,-0.008874330407098351,0.015814747921305494,0.03243418946452212,0.3333333333333333,0
RQ2 Magnitude,ret_last_30m,SPX momentum,3,-0.009519163436376635,0.015646499811020082,0.03161266228407824,0.3333333333333333,0
RQ2 Magnitude,spy_volume_last_60m,SPY volume,3,-0.027933534879022243,0.034726288168481986,0.03435406332542452,0.3333333333333333,0
RQ2 Magnitude,spy_volume_last_30m,SPY volume,3,-0.030176492372909564,0.019819547257572467,0.02630442262597379,0.0,0
RQ3 Large Movement,atr_pct_open_to_1500,True range,3,0.05151604584803477,0.009824110463018176,0.021206660741218842,1.0,3
RQ3 Large Movement,rv_open_to_1500,Realised volatility,3,0.03123209879558711,0.007938352651743271,0.017871031146653435,1.0,3
RQ3 Large Movement,realized_vol_120m,Realised volatility,3,0.019011531441389232,0.001370681103855573,0.015596283469470533,1.0,2
RQ3 Large Movement,spy_volume_accel_60m_vs_avg,SPY volume,3,0.01714002929636091,0.08146244784652884,0.018269141197881502,0.3333333333333333,1
RQ3 Large Movement,vix_ret_last_60m,VIX,3,0.006202503035464198,0.02568773744990434,0.007019587769389366,0.3333333333333333,1
RQ3 Large Movement,ret_last_60m,SPX momentum,3,0.005370125266141837,0.017195960936270155,0.008110620269649548,0.3333333333333333,1
RQ3 Large Movement,vix_level_1500,VIX,3,0.004252810955549455,0.004115750531489795,0.0076554002335001425,0.6666666666666666,1
RQ3 Large Movement,realized_vol_30m,Realised volatility,3,0.0019062620199135673,0.010641452836192451,0.013491453703332967,0.6666666666666666,0
RQ3 Large Movement,spy_volume_last_60m,SPY volume,3,-0.0015874592227965723,0.003867918954812732,0.007720741716289169,0.3333333333333333,1
RQ3 Large Movement,position_in_day_range,Price position,3,-0.0032676058220834706,0.0023465993531650462,0.0047086395186140585,0.0,0
RQ3 Large Movement,ret_open_to_1500,SPX momentum,3,-0.005734731685602963,0.00871751915478336,0.00332145315006167,0.3333333333333333,0
RQ3 Large Movement,momentum_accel_60m_vs_prior,SPX momentum,3,-0.007748333861585334,0.01650422132635641,0.006288986771954786,0.3333333333333333,0
RQ3 Large Movement,spy_dist_from_vwap_pct,Price position,3,-0.009960787523293843,0.005196204836587959,0.00643063486555161,0.0,0
RQ3 Large Movement,vix_ret_last_15m,VIX,3,-0.015610215179488312,0.05711815671182294,0.01858825848614404,0.6666666666666666,1
RQ3 Large Movement,ret_last_15m,SPX momentum,3,-0.026148987745983402,0.04666782699491665,0.013908442944801947,0.3333333333333333,1
