research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ1 Direction,Strict,Full,Extra Trees,1,ret_open_to_1500,SPX momentum,0.009036377708978301,0.006725595357028134
RQ1 Direction,Strict,Full,Extra Trees,1,ret_last_15m,SPX momentum,0.0,0.0
RQ1 Direction,Strict,Full,Extra Trees,1,ret_last_30m,SPX momentum,0.0016447368421052544,0.002848767775606691
RQ1 Direction,Strict,Full,Extra Trees,1,ret_last_60m,SPX momentum,0.004934210526315763,0.005042667669985464
RQ1 Direction,Strict,Full,Extra Trees,1,momentum_accel_60m_vs_prior,SPX momentum,0.0063273993808049215,0.0034403023523896844
RQ1 Direction,Strict,Full,Extra Trees,1,vix_level_1500,VIX,0.012674148606811089,0.006091821757114023
RQ1 Direction,Strict,Full,Extra Trees,1,vix_ret_last_15m,VIX,0.008649380804953513,0.007541253079952425
RQ1 Direction,Strict,Full,Extra Trees,1,vix_ret_last_30m,VIX,0.009868421052631532,0.004879077952036606
RQ1 Direction,Strict,Full,Extra Trees,1,vix_ret_last_60m,VIX,0.004605263157894712,0.0036630028702828894
RQ1 Direction,Strict,Full,Extra Trees,1,realized_vol_30m,Realised volatility,0.005166408668730626,0.0048494819688693356
RQ1 Direction,Strict,Full,Extra Trees,1,realized_vol_60m,Realised volatility,0.0037345201238389914,0.004039022372707056
RQ1 Direction,Strict,Full,Extra Trees,1,realized_vol_120m,Realised volatility,0.005495356037151677,0.005197297821733582
RQ1 Direction,Strict,Full,Extra Trees,1,rv_open_to_1500,Realised volatility,0.0061532507739937795,0.004281347291434396
RQ1 Direction,Strict,Full,Extra Trees,1,spy_volume_last_30m,SPY volume,0.0013157894736842036,0.002631578947368407
RQ1 Direction,Strict,Full,Extra Trees,1,spy_volume_last_60m,SPY volume,0.0016447368421052544,0.0028487677756066907
RQ1 Direction,Strict,Full,Extra Trees,1,spy_cum_volume_to_1500,SPY volume,0.007410990712074272,0.004721163968328768
RQ1 Direction,Strict,Full,Extra Trees,1,spy_volume_accel_60m_vs_avg,SPY volume,0.007527089783281704,0.0040946302483224175
RQ1 Direction,Strict,Full,Extra Trees,1,spy_dist_from_vwap_pct,Price position,0.007352941176470562,0.004027371746361501
RQ1 Direction,Strict,Full,Extra Trees,1,position_in_day_range,Price position,0.011609907120742998,0.005219439166953949
RQ1 Direction,Strict,Full,Extra Trees,1,dist_from_day_high_pct,Price position,0.005514705882352922,0.003183916925678072
