task,dataset_variant,feature_set,model,mae_bps,rmse_bps,r2,spearman,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,inner_best_search_score,best_parameters
RQ2 Magnitude,Strict,Full,Ridge Regression,14.10811992265692,19.41313278658075,0.1494566368114647,0.2712402539988747,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-12.772278723704199,"{""model__alpha"": 64.90568112132166}"
RQ2 Magnitude,Strict,Full,Ridge Regression,16.067328754161647,25.125634729788697,0.3418984838684971,0.5748050799774937,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.590243264532157,"{""model__alpha"": 457.1980005349639}"
RQ2 Magnitude,Strict,Full,Ridge Regression,11.196551735502883,14.859658373553636,-0.02272188858128099,0.3180290973394422,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.16487223158902,"{""model__alpha"": 717.8271739744708}"
RQ2 Magnitude,Strict,Full,Elastic Net,12.716913504085182,18.231358484818568,0.24985836403324446,0.3833494092114782,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-12.499926190453259,"{""model__alpha"": 2.113905667073237, ""model__l1_ratio"": 0.6721772794761761}"
RQ2 Magnitude,Strict,Full,Elastic Net,16.149174704460815,25.373430059313986,0.3288537489120854,0.5797845832328591,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.528371870638745,"{""model__alpha"": 3.0602678030994337, ""model__l1_ratio"": 0.16423464552408473}"
RQ2 Magnitude,Strict,Full,Elastic Net,11.213659368257007,14.805317122734477,-0.015255449508241536,0.3156699622216864,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.137193532835996,"{""model__alpha"": 1.9025906512182598, ""model__l1_ratio"": 0.06693827118834939}"
RQ2 Magnitude,Strict,Full,Extra Trees,14.404963498611664,19.372064120487238,0.15305149537148832,0.12646089542641267,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-12.56508620821909,"{""model__bootstrap"": false, ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 3, ""model__n_estimators"": 205}"
RQ2 Magnitude,Strict,Full,Extra Trees,16.539986641986975,26.683858335529095,0.2577399947924427,0.5841049754842859,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.683289070578288,"{""model__bootstrap"": false, ""model__max_depth"": 3, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 677}"
RQ2 Magnitude,Strict,Full,Extra Trees,11.187882969942345,14.469403381478761,0.03029161879016562,0.3082067357929427,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.256307055368296,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 15, ""model__n_estimators"": 242}"
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,13.140484098109543,21.209429913490034,-0.015227096141948726,0.15878546740615707,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-11.277673694635254,"{""model__l2_regularization"": 6.210586317322275, ""model__learning_rate"": 0.013816584588722742, ""model__loss"": ""absolute_error"", ""model__max_bins"": 32, ""model__max_iter"": 114, ""model__max_leaf_nodes"": 18, ""model__min_samples_leaf"": 28}"
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,16.81046427641077,29.679921415727357,0.08170059880337466,0.4487259866570212,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.583982707826559,"{""model__l2_regularization"": 2.88921323526046, ""model__learning_rate"": 0.0652096458268545, ""model__loss"": ""absolute_error"", ""model__max_bins"": 32, ""model__max_iter"": 349, ""model__max_leaf_nodes"": 22, ""model__min_samples_leaf"": 16}"
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,9.73616786858316,13.294665507269828,0.1813566640289236,0.32119604533397644,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.325772756668783,"{""model__l2_regularization"": 0.008721086311075644, ""model__learning_rate"": 0.025839481278567514, ""model__loss"": ""absolute_error"", ""model__max_bins"": 128, ""model__max_iter"": 124, ""model__max_leaf_nodes"": 17, ""model__min_samples_leaf"": 25}"
RQ2 Magnitude,Strict,Full,RBF SVR,12.56172664135044,20.521458048686572,0.049566713171584786,0.3114540631782011,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-10.826422304580882,"{""model__C"": 43.713170124698244, ""model__epsilon"": 0.7189464192500087, ""model__gamma"": 0.0002606608453695575}"
RQ2 Magnitude,Strict,Full,RBF SVR,16.684734388156993,29.719552498875544,0.07924658303848942,0.5089823969134314,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-11.991937285225992,"{""model__C"": 16.598498453342284, ""model__epsilon"": 0.33949926769495553, ""model__gamma"": 0.01155978355611923}"
RQ2 Magnitude,Strict,Full,RBF SVR,9.788832173975873,13.493932805977433,0.15663225472571707,0.3010971786833856,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.016096309266757,"{""model__C"": 33.05628970444424, ""model__epsilon"": 0.11335687787313693, ""model__gamma"": 0.0016582621303833087}"
RQ2 Magnitude,Strict,Reduced,Ridge Regression,13.18143418320566,18.246462769837258,0.2486148970080816,0.32770275701310186,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-12.884896995186194,"{""model__alpha"": 64.90568112132166}"
RQ2 Magnitude,Strict,Reduced,Ridge Regression,16.134266035926462,25.30677842703463,0.3323750891560381,0.5768507354714252,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-12.56658787858666,"{""model__alpha"": 195.40950604964772}"
RQ2 Magnitude,Strict,Reduced,Ridge Regression,11.277663108133872,15.168404331664064,-0.0656625268814619,0.31037697934249664,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-14.133957175266167,"{""model__alpha"": 345.85752888640803}"
