task,dataset_variant,feature_set,model,outer_mae_bps_mean,outer_mae_bps_std,outer_rmse_bps_mean,outer_r2_mean,outer_spearman_mean
RQ2 Magnitude,Relaxed,Full,RBF SVR,11.879532733074258,2.6197900366705915,19.49010655471831,0.13546180969890143,0.4094350526040919
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,11.923803678126644,2.5370586991940947,19.512652579507506,0.12707580042331393,0.4129695469512186
RQ2 Magnitude,Relaxed,Full,Elastic Net,12.058762978451767,2.2057758704192776,17.93976966080528,0.23144453892711517,0.45103778934568206
RQ2 Magnitude,Relaxed,Reduced,Elastic Net,12.149433309956267,2.20470693193078,17.93723023003528,0.23105754571342355,0.4507210368468139
RQ2 Magnitude,Relaxed,Reduced,Ridge Regression,12.187583702255003,2.2170490419725772,18.021773915418912,0.22378561990953805,0.44148267981884853
RQ2 Magnitude,Relaxed,Full,Histogram Gradient Boosting,12.19630792308373,2.7242570967630027,19.924660511152265,0.09729986129965451,0.33615706597568273
RQ2 Magnitude,Relaxed,Full,Ridge Regression,12.295167901708288,2.103506280752364,17.96233855183699,0.2283822474869941,0.42708280219347244
RQ2 Magnitude,Relaxed,Reduced,Histogram Gradient Boosting,12.349385246887836,2.658361311203402,20.068075848220804,0.07783915017936201,0.3310449896707783
RQ2 Magnitude,Relaxed,Reduced,Extra Trees,12.37982734741207,2.522521633422909,18.61277893094761,0.1902308069240617,0.38940547873663656
RQ2 Magnitude,Relaxed,Full,Extra Trees,12.509171776768945,2.367362914552883,18.484450443154497,0.20227585251997907,0.37696560376889127
RQ2 Magnitude,Strict,Reduced,RBF SVR,12.891581015621034,3.3512367080021024,21.093126015913114,0.10452099194501847,0.37811135224928333
RQ2 Magnitude,Strict,Full,RBF SVR,13.011764401161102,3.469908835377173,21.244981117846518,0.0951485169785971,0.37384454625833935
RQ2 Magnitude,Strict,Reduced,Histogram Gradient Boosting,13.111016760606674,3.398483054304328,20.95210526245314,0.10664177391862828,0.3397358244215769
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,13.229038747701159,3.537979488482639,21.394672278829074,0.08261005556344984,0.30956916646571825
RQ2 Magnitude,Strict,Full,Elastic Net,13.359915858934334,2.5298057098781155,19.47003522228901,0.18781888781236278,0.42626798488867457
RQ2 Magnitude,Strict,Reduced,Elastic Net,13.395980493200552,2.4762677651327185,19.3652401366092,0.195927880316722,0.4249886129196474
RQ2 Magnitude,Strict,Reduced,Ridge Regression,13.531121109088664,2.4471123205037033,19.573881842845317,0.17177581976088593,0.40497682394234125
RQ2 Magnitude,Strict,Full,Ridge Regression,13.790666804107152,2.450856901826649,19.799475296641027,0.15621107736622694,0.38802481043860354
RQ2 Magnitude,Strict,Reduced,Extra Trees,13.808724330639244,2.7045295009918098,19.988236748543603,0.1658135357666289,0.34795568416258077
RQ2 Magnitude,Strict,Full,Extra Trees,14.044277703513663,2.6942205015862215,20.175108612498367,0.1470277029846989,0.33959086890121376
