task,dataset_variant,feature_set,model,outer_balanced_accuracy_mean,outer_balanced_accuracy_std,outer_accuracy_mean,outer_f1_mean,outer_recall_mean,outer_mcc_mean,outer_roc_auc_mean,outer_average_precision_mean,outer_average_precision_std,outer_positive_prevalence_mean,outer_average_precision_lift_mean,outer_average_precision_lift_std,outer_average_precision_lift_ratio_mean,outer_threshold_mean,outer_threshold_std
RQ3 Large Movement,Strict,Reduced,RBF SVC,0.6656361356166753,0.05452589129713212,0.6111111111111112,0.49218055007237793,0.8187301587301588,0.32789159524128103,0.7875554674350568,0.5381480747956617,0.1510806998095093,0.23842592592592593,0.29972214886973586,0.08176634671019843,2.3606928572371424,-0.6320851879104913,0.4407445684317777
RQ3 Large Movement,Strict,Reduced,Extra Trees,0.6806202069999423,0.06276021828226214,0.7430555555555555,0.5007225303011145,0.5953174603174604,0.33323829537120464,0.7652977496838989,0.5274343593416877,0.0857102548319778,0.23842592592592593,0.2890084334157618,0.030587696066182272,2.3888483239294445,0.4861860638788487,0.05140085258367788
RQ3 Large Movement,Relaxed,Reduced,RBF SVC,0.6759653222623329,0.03783903278497238,0.7283236994219653,0.4305972950963873,0.5556862745098039,0.3244434996641326,0.8105660416942962,0.5265145308971027,0.17076147479969314,0.20423892100192678,0.3222756098951758,0.09672925505939953,2.6190661188703013,-0.298495741062523,0.6663819225011614
RQ3 Large Movement,Relaxed,Full,Logistic ElasticNet,0.6802855912740196,0.05275307931253173,0.7784200385356455,0.480775266792216,0.541437908496732,0.3464486189121077,0.8017034726967225,0.5193524855035895,0.1359484199028366,0.20423892100192678,0.31511356450166267,0.06440037340657882,2.622553147795642,0.5000646131701135,0.01609416448720749
RQ3 Large Movement,Relaxed,Full,RBF SVC,0.6203827887675525,0.12762515812935982,0.7475915221579962,0.2693947144075021,0.3783006535947712,0.22637606532265978,0.8117850250733568,0.5178422536870231,0.13103412046117352,0.20423892100192678,0.31360333268509627,0.06540857373307103,2.623401658426214,-0.2635833530491106,0.46260964849504066
RQ3 Large Movement,Strict,Full,Extra Trees,0.6831429518702482,0.06466602068010116,0.6898148148148149,0.49491349185164246,0.6813492063492065,0.3170729537485779,0.7665627430392528,0.5166518985469485,0.09857843065574518,0.23842592592592593,0.27822597262102255,0.009665720976561612,2.327824532391395,0.44441796196784394,0.020008925399110672
RQ3 Large Movement,Strict,Full,RBF SVC,0.6732679971746526,0.07507718293117316,0.5023148148148149,0.4792640180716672,0.9829166666666667,0.3279187373030365,0.7809800591119513,0.5155953605338554,0.1357803048539942,0.23842592592592593,0.27716943460792937,0.04427933807360807,2.2658363028149306,-0.8750649419464772,0.008173227533479014
RQ3 Large Movement,Relaxed,Reduced,Extra Trees,0.6881761943478434,0.05930299130123772,0.7418111753371869,0.4752031084422466,0.6294117647058823,0.3426002110424864,0.783338557620139,0.5021894959771456,0.1368004890455339,0.20423892100192678,0.2979505749752188,0.057079337874213515,2.5295930824594355,0.47764552034920177,0.03588253162946984
RQ3 Large Movement,Relaxed,Full,Extra Trees,0.6864113925782199,0.04845850531691274,0.7398843930635839,0.47218045112781953,0.614640522875817,0.32853728871796894,0.8033978712377942,0.49544039358804376,0.15909807250143376,0.20423892100192678,0.29120147258611695,0.07944610828981319,2.4657231674573374,0.4855804123029801,0.020690684233859804
RQ3 Large Movement,Relaxed,Reduced,Logistic ElasticNet,0.6596986406870688,0.07069700869917607,0.764932562620424,0.4468954248366013,0.5125490196078432,0.301385876628175,0.7680470646719441,0.4896842484460315,0.15407884567627983,0.20423892100192678,0.2854453274441046,0.0743780829473429,2.441086284481537,0.5495869139803199,0.055058321619328436
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.644987716328531,0.11166992493847912,0.6574074074074073,0.47622758001439625,0.6586904761904762,0.27252414679793463,0.720459577359673,0.4807332240460311,0.13345622861171552,0.23842592592592593,0.2423072981201051,0.03318330324105532,2.1129057804313685,0.4605178589974423,0.055279824023117013
RQ3 Large Movement,Strict,Reduced,Logistic ElasticNet,0.6436145552754919,0.10451375724903077,0.6712962962962963,0.46941500389776253,0.6324007936507936,0.27130784889638876,0.7185296408356056,0.46682564770087226,0.14983854773472327,0.23842592592592593,0.2283997217749463,0.04818605706424692,2.022095648130508,0.47980755999526803,0.04088485185293021
RQ3 Large Movement,Relaxed,Full,Histogram Gradient Boosting,0.657054603375722,0.05588832312501248,0.720616570327553,0.44085932544607154,0.5850980392156863,0.29739814977392903,0.7310725984496477,0.42943201443881013,0.1303791029933117,0.20423892100192678,0.22519309343688335,0.050938268695013694,2.148314994444949,0.3203157209322807,0.2028558430183348
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.6414677391454766,0.053260392394196145,0.7083333333333334,0.4375794558860921,0.5279761904761905,0.2599276642693866,0.6814939676499095,0.42028267224805066,0.13453128943386675,0.23842592592592593,0.18185674632212476,0.049251804691974856,1.8425748575572714,0.43852545562265544,0.11210171642599942
RQ3 Large Movement,Strict,Reduced,Histogram Gradient Boosting,0.6392262316620126,0.054885852666438015,0.5462962962962963,0.44805623607456474,0.786468253968254,0.25331100110793525,0.6912126756704021,0.41277848655272215,0.12387776760948573,0.23842592592592593,0.17435256062679627,0.029325928897952547,1.8078455824600554,0.2385014992050146,0.19721801051106763
