research_question,regime_type,regime,sessions,minimum_sample_met,first_date,last_date,balanced_accuracy,accuracy,mcc,positive_rate,mae_bps,rmse_bps,r2,spearman,average_precision,prevalence,average_precision_lift,precision,recall,f1
RQ1 Direction,VIX regime,High,149,True,2023-10-19,2026-01-20,0.5485507246376812,0.5302013422818792,0.11108155818111988,0.46308724832214765,,,,,,,,,,
RQ1 Direction,VIX regime,Low,128,True,2023-11-02,2026-01-23,0.5378787878787878,0.5234375,0.19541429196406968,0.484375,,,,,,,,,,
RQ1 Direction,VIX regime,Medium,155,True,2023-10-31,2026-01-28,0.5384551217884551,0.5548387096774193,0.11224849053736091,0.5225806451612903,,,,,,,,,,
RQ1 Direction,Realised-volatility regime,High,138,True,2023-10-19,2026-01-28,0.6074746621621622,0.6231884057971014,0.23996623236249973,0.5362318840579711,,,,,,,,,,
RQ1 Direction,Realised-volatility regime,Low,187,True,2023-11-02,2026-01-26,0.5231227106227107,0.5347593582887701,0.09432252213788851,0.5133689839572193,,,,,,,,,,
RQ1 Direction,Realised-volatility regime,Medium,107,True,2023-10-30,2026-01-20,0.5097069597069597,0.42990654205607476,0.02811182586400951,0.3925233644859813,,,,,,,,,,
RQ1 Direction,Pre-15:00 trend,Negative pre-15:00 return,222,True,2023-10-19,2026-01-28,0.5646915584415584,0.5675675675675675,0.168312849858321,0.5045045045045045,,,,,,,,,,
RQ1 Direction,Pre-15:00 trend,Positive pre-15:00 return,210,True,2023-10-23,2026-01-26,0.5231818181818182,0.5047619047619047,0.0727799479328913,0.47619047619047616,,,,,,,,,,
RQ2 Magnitude,VIX regime,High,167,True,2024-04-15,2026-01-20,,,,,17.794144649705395,28.960334703291277,0.10100007384978271,0.4074767848124749,,,,,,
RQ2 Magnitude,VIX regime,Low,163,True,2023-11-03,2025-12-30,,,,,10.022012053740513,16.92100869901549,0.09623981215337163,0.33533398728670316,,,,,,
RQ2 Magnitude,VIX regime,Medium,189,True,2024-02-13,2026-01-28,,,,,8.255382895264738,11.543466016969017,0.06959018631439429,0.2860893368172204,,,,,,
RQ2 Magnitude,Realised-volatility regime,High,151,True,2023-11-09,2026-01-28,,,,,20.631938338785726,31.890166312832815,0.025491839325241905,0.28890205646566747,,,,,,
RQ2 Magnitude,Realised-volatility regime,Low,245,True,2023-11-07,2026-01-27,,,,,7.101158470067853,9.747093396581217,0.0364406792787596,0.1772017723522836,,,,,,
RQ2 Magnitude,Realised-volatility regime,Medium,123,True,2023-11-03,2026-01-20,,,,,10.652609545872131,16.887251338587156,-0.09881366739871389,0.08882898453521818,,,,,,
RQ2 Magnitude,Pre-15:00 trend,Negative pre-15:00 return,248,True,2023-11-06,2026-01-28,,,,,12.706458906718414,19.747658945306792,0.10351204579575224,0.33071478810632365,,,,,,
RQ2 Magnitude,Pre-15:00 trend,Positive pre-15:00 return,271,True,2023-11-03,2026-01-27,,,,,11.122788485606547,20.618239463813957,0.2155824737016161,0.41343547259002,,,,,,
RQ3 Large Movement,VIX regime,High,149,True,2023-10-19,2026-01-20,,,,,,,,,0.602973292426328,0.4161073825503356,0.18686590987599244,0.4793388429752066,0.9354838709677419,0.6338797814207651
RQ3 Large Movement,VIX regime,Low,128,True,2023-11-02,2026-01-23,,,,,,,,,0.4230608251650041,0.1484375,0.2746233251650041,0.24285714285714285,0.8947368421052632,0.38202247191011235
RQ3 Large Movement,VIX regime,Medium,155,True,2023-10-31,2026-01-28,,,,,,,,,0.4093950972070604,0.14193548387096774,0.2674596133360927,0.2857142857142857,0.7272727272727273,0.41025641025641024
RQ3 Large Movement,Realised-volatility regime,High,138,True,2023-10-19,2026-01-28,,,,,,,,,0.617566671638944,0.463768115942029,0.15379855569691497,0.4772727272727273,0.984375,0.6428571428571429
RQ3 Large Movement,Realised-volatility regime,Low,187,True,2023-11-02,2026-01-26,,,,,,,,,0.2577925088019404,0.08021390374331551,0.17757860505862488,0.19148936170212766,0.6,0.2903225806451613
RQ3 Large Movement,Realised-volatility regime,Medium,107,True,2023-10-30,2026-01-20,,,,,,,,,0.3067919526601041,0.22429906542056074,0.08249288723954337,0.27941176470588236,0.7916666666666666,0.41304347826086957
RQ3 Large Movement,Pre-15:00 trend,Negative pre-15:00 return,222,True,2023-10-19,2026-01-28,,,,,,,,,0.5061912480773854,0.26126126126126126,0.2449299868161241,0.3546099290780142,0.8620689655172413,0.5025125628140703
RQ3 Large Movement,Pre-15:00 trend,Positive pre-15:00 return,210,True,2023-10-23,2026-01-26,,,,,,,,,0.5846688492619573,0.21428571428571427,0.370383134976243,0.3867924528301887,0.9111111111111111,0.543046357615894
