research_question,feature,mean_importance,between_fold_std,mean_within_fold_std,positive_fold_share
RQ1 Direction,spx_from_open_pct,0.030571501961406008,0.01666450933055142,0.02016732036093811,1.0
RQ1 Direction,vix_logret_1m,0.02206043816156869,0.02004453160946426,0.008173504334287651,0.6666666666666666
RQ1 Direction,spx_logret_1m,0.01945515213898698,0.005510306496202797,0.011163372986489313,1.0
RQ1 Direction,spy_from_open_pct,0.017777138431020065,0.01339689709839819,0.018441948606868295,1.0
RQ1 Direction,vix_level,0.017414753888847983,0.004155085813980636,0.014237936866925448,1.0
RQ1 Direction,spx_rv_30m,0.014622636846756567,0.01648497866954155,0.031956112187969926,0.6666666666666666
RQ1 Direction,spx_rv_15m,0.011721705446730223,0.012125967250094597,0.019656379348967135,1.0
RQ1 Direction,vix_logret_5m,0.011374036596038743,0.00939123409158831,0.011400746545489187,1.0
RQ1 Direction,vix_staleness_seconds,0.010693503264970872,0.004674675018469878,0.006976801004947916,1.0
RQ1 Direction,spx_running_range_position,0.008792182731695729,0.011243555231436591,0.02146933653941657,0.6666666666666666
RQ1 Direction,spx_logret_5m,0.008086294913030818,0.003915245627912646,0.009121669595530948,1.0
RQ1 Direction,spy_log_volume,0.006204524316481722,0.028982698375907796,0.020922969287342025,0.3333333333333333
RQ1 Direction,spy_log_cum_volume,0.005895808617896159,0.01804197630142789,0.016523595592552138,0.3333333333333333
RQ1 Direction,spy_logret_1m,0.00034678312795737644,0.008077274716452457,0.014718846299524205,0.6666666666666666
RQ1 Direction,sequence_time_fraction,0.0,0.0,0.0,0.0
RQ1 Direction,spx_staleness_seconds,0.0,0.0,0.0,0.0
RQ2 Magnitude,spx_rv_15m,0.23707510034243265,0.3211185698483223,0.09546593204140663,0.6666666666666666
RQ2 Magnitude,spy_from_open_pct,0.1626376419638594,0.1574973894554545,0.07885756467779477,0.6666666666666666
RQ2 Magnitude,spx_running_range_position,0.15986105202076337,0.26876379126028443,0.09102874745925267,1.0
RQ2 Magnitude,spx_rv_30m,0.15403569986422858,0.11500740433942067,0.07891262074311574,1.0
RQ2 Magnitude,spy_log_cum_volume,0.14511292924483618,0.08931265804398618,0.05329181378086408,1.0
RQ2 Magnitude,vix_level,0.06354936041558783,0.06174870471653504,0.06846496711174647,1.0
RQ2 Magnitude,spx_from_open_pct,0.023788643380006153,0.032540453971891425,0.07284621397654216,0.6666666666666666
RQ2 Magnitude,spy_log_volume,0.02191149505476157,0.05754332155036761,0.04559573562194904,0.6666666666666666
RQ2 Magnitude,vix_staleness_seconds,0.02014859443685661,0.06822666873351114,0.024471923088033993,0.6666666666666666
RQ2 Magnitude,spy_logret_1m,0.01635862871383627,0.052279412087672804,0.024304373189806938,0.3333333333333333
RQ2 Magnitude,spx_logret_1m,0.010638554502899447,0.03017927592627652,0.014256345108151436,0.6666666666666666
RQ2 Magnitude,vix_logret_5m,0.005619621369987726,0.01131847186239231,0.03963651601225138,0.6666666666666666
RQ2 Magnitude,spx_logret_5m,0.0032567342083590725,0.05447715130611727,0.09444104786962271,0.6666666666666666
RQ2 Magnitude,sequence_time_fraction,0.0,0.0,0.0,0.0
RQ2 Magnitude,spx_staleness_seconds,0.0,0.0,0.0,0.0
RQ2 Magnitude,vix_logret_1m,-0.010403887213518223,0.018521623285725562,0.047543003146226205,0.3333333333333333
RQ3 Large Movement,spx_rv_15m,0.05747510202381625,0.027949460250984545,0.022934394977076514,1.0
RQ3 Large Movement,spx_logret_5m,0.03731784238138073,0.034888790801118424,0.015063040003260468,0.6666666666666666
RQ3 Large Movement,vix_level,0.03115018253897046,0.023898041079053238,0.02201755454013191,1.0
RQ3 Large Movement,spx_rv_30m,0.030699267869618425,0.026738259060169068,0.038623472963212384,1.0
RQ3 Large Movement,spy_from_open_pct,0.016541217115094025,0.03950945501174225,0.02235407837589325,0.3333333333333333
RQ3 Large Movement,spy_log_volume,0.016221366702294883,0.02898058670902395,0.01742724089567052,0.3333333333333333
RQ3 Large Movement,spx_from_open_pct,0.012487592475706818,0.03472418160301622,0.01718569476840884,0.3333333333333333
RQ3 Large Movement,spx_logret_1m,0.010491750728630574,0.014594683358334207,0.009660916865596083,0.6666666666666666
RQ3 Large Movement,vix_logret_1m,0.008205307537420773,0.014456254670709535,0.014905719011748983,0.6666666666666666
RQ3 Large Movement,vix_staleness_seconds,0.006756235366219975,0.013486720696260798,0.008198916274535633,0.6666666666666666
RQ3 Large Movement,spy_log_cum_volume,0.00587590034505503,0.049208516945034385,0.017243689807109407,0.6666666666666666
RQ3 Large Movement,spy_logret_1m,0.005213852709192842,0.004335709784025681,0.007530595112215162,1.0
RQ3 Large Movement,spx_running_range_position,0.00222433407403442,0.023730941426686733,0.02027454571989572,0.6666666666666666
RQ3 Large Movement,sequence_time_fraction,0.0,0.0,0.0,0.0
RQ3 Large Movement,spx_staleness_seconds,0.0,0.0,0.0,0.0
RQ3 Large Movement,vix_logret_5m,-5.856310289671882e-05,0.0253775743767775,0.019983047049714098,0.3333333333333333
