research_question,outer_fold,epoch,loss,val_loss
RQ1 Direction,1,1,0.7081629037857056,0.6838001608848572
RQ1 Direction,1,2,0.6957617998123169,0.6928501725196838
RQ1 Direction,1,3,0.681267261505127,0.7001236081123352
RQ1 Direction,1,4,0.6788262128829956,0.7055473327636719
RQ1 Direction,1,5,0.661980390548706,0.7103837728500366
RQ1 Direction,1,6,0.6715878248214722,0.7144389748573303
RQ1 Direction,1,7,0.6610307693481445,0.7161746025085449
RQ1 Direction,1,8,0.6457375288009644,0.7175298929214478
RQ1 Direction,1,9,0.647907555103302,0.7189011573791504
RQ1 Direction,1,10,0.6482670903205872,0.7203697562217712
RQ1 Direction,1,11,0.6506449580192566,0.7212736010551453
RQ1 Direction,1,12,0.6585292816162109,0.721564769744873
RQ1 Direction,1,13,0.6370877623558044,0.7219840288162231
RQ1 Direction,1,14,0.6490626931190491,0.7226340174674988
RQ1 Direction,1,15,0.6379894614219666,0.7233701348304749
RQ1 Direction,1,16,0.6528586745262146,0.723987340927124
RQ1 Direction,1,17,0.6442515254020691,0.7242423892021179
RQ1 Direction,1,18,0.6522597074508667,0.7244116067886353
RQ1 Direction,1,19,0.629338264465332,0.7245790362358093
RQ1 Direction,1,20,0.6404936909675598,0.7247848510742188
RQ1 Direction,1,21,0.633960485458374,0.7249438762664795
RQ1 Direction,2,1,0.6965218782424927,0.6940841674804688
RQ1 Direction,2,2,0.6804459691047668,0.6948984265327454
RQ1 Direction,2,3,0.6781056523323059,0.6966555118560791
RQ1 Direction,2,4,0.6699363589286804,0.6998699903488159
RQ1 Direction,2,5,0.6705272793769836,0.7022711038589478
RQ1 Direction,2,6,0.6544482707977295,0.7012613415718079
RQ1 Direction,2,7,0.6494738459587097,0.7011489868164062
RQ1 Direction,2,8,0.6442146897315979,0.7012521624565125
RQ1 Direction,2,9,0.6436351537704468,0.7016447186470032
RQ1 Direction,2,10,0.6280919313430786,0.7032955884933472
RQ1 Direction,2,11,0.6301203966140747,0.7042649388313293
RQ1 Direction,2,12,0.6346124410629272,0.7047086358070374
RQ1 Direction,2,13,0.6397676467895508,0.7054019570350647
RQ1 Direction,2,14,0.631497859954834,0.7062088251113892
RQ1 Direction,2,15,0.6198061108589172,0.707231879234314
RQ1 Direction,2,16,0.6216585040092468,0.7079060077667236
RQ1 Direction,2,17,0.625288188457489,0.7087580561637878
RQ1 Direction,2,18,0.6239631175994873,0.709393322467804
RQ1 Direction,2,19,0.6173915863037109,0.7098686099052429
RQ1 Direction,2,20,0.6202594041824341,0.7107138633728027
RQ1 Direction,2,21,0.6211312413215637,0.7116374373435974
RQ1 Direction,2,22,0.6277252435684204,0.7118752598762512
RQ1 Direction,3,1,0.6956331729888916,0.7020106911659241
