rule,predicted_magnitude_threshold_bps,sessions,coverage,direction_balanced_accuracy,direction_accuracy,mean_abs_move_bps,median_abs_move_bps,mean_move_points,mean_directional_capture_bps,rate_ge_20bps,rate_ge_30bps,rate_ge_40bps
All three-model intersection sessions,,421,1.0,0.5449907445031378,0.5391923990498813,20.538576254402617,13.041191168521316,11.79909738717342,2.5315919594613194,0.34441805225653205,0.2042755344418052,0.1377672209026128
RQ1 high confidence only,,127,0.3016627078384798,0.5587431693989071,0.5433070866141733,19.24975212991835,11.458495081949627,11.124488188976366,4.0741975068363,0.29133858267716534,0.18110236220472442,0.11811023622047244
RQ3 large-move flag only,,237,0.5629453681710214,0.5539096994730095,0.5527426160337553,27.583449102567663,20.09596029505234,15.410168776371316,3.621412415579465,0.5021097046413502,0.31645569620253167,0.22362869198312235
RQ1 high confidence + RQ3 flag,,72,0.171021377672209,0.6057915057915058,0.5972222222222222,27.423529590238257,17.30035479610814,15.514583333333352,7.65529056459113,0.4722222222222222,0.2916666666666667,0.20833333333333334
RQ2 predicted move >= 10 bps,10.0,343,0.8147268408551069,0.556681400884053,0.5539358600583091,23.184148264308227,15.157372179610551,13.29618075801752,3.351030717824644,0.40524781341107874,0.2478134110787172,0.16909620991253643
RQ1 high confidence + RQ2 >= 10 bps,10.0,100,0.2375296912114014,0.5745192307692307,0.56,22.580312475184947,14.532963940442901,13.01449999999998,5.6844307755374395,0.36,0.23,0.15
RQ2 >= 10 bps + RQ3 flag,10.0,226,0.5368171021377672,0.5596021303258145,0.5619469026548672,28.370133945192777,21.303595954080823,15.87438053097346,4.191292193994233,0.5176991150442478,0.3274336283185841,0.2345132743362832
RQ1 high confidence + RQ2 >= 10 bps + RQ3 flag,10.0,67,0.15914489311163896,0.6163101604278075,0.6119402985074627,28.816293541079887,17.915421783845087,16.32119402985076,8.754818794463693,0.4925373134328358,0.31343283582089554,0.22388059701492538
RQ2 predicted move >= 15 bps,15.0,154,0.3657957244655582,0.5768776371308016,0.5714285714285714,31.38463961724249,21.755747421314254,17.940194805194857,4.083790607456868,0.5324675324675324,0.3961038961038961,0.2792207792207792
RQ1 high confidence + RQ2 >= 15 bps,15.0,48,0.11401425178147269,0.6107078039927405,0.5625,31.95027233790545,24.783978061380108,18.430833333333386,9.583639993838526,0.5208333333333334,0.3958333333333333,0.2708333333333333
