rule,realised_move_threshold_bps,sessions,coverage,selected_event_rate,unconditional_event_rate,absolute_event_rate_lift,lift_ratio
All intersection sessions,20,421,1.0,0.34441805225653205,0.34441805225653205,0.0,1.0
RQ1 high confidence,20,127,0.3016627078384798,0.29133858267716534,0.34441805225653205,-0.05307946957936671,0.8458865055661146
RQ3 large-move flag,20,237,0.5629453681710214,0.5021097046413502,0.34441805225653205,0.15769165238481814,1.457849556234541
RQ1 high confidence + RQ3,20,72,0.171021377672209,0.4722222222222222,0.34441805225653205,0.12780416996569016,1.371072796934866
RQ1 high confidence + RQ2 >= 20 bps,20,21,0.0498812351543943,0.7142857142857143,0.34441805225653205,0.36986766202918225,2.073891625615764
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,20,21,0.0498812351543943,0.7142857142857143,0.34441805225653205,0.36986766202918225,2.073891625615764
All three with RQ2 >= 10 bps,20,67,0.15914489311163896,0.4925373134328358,0.34441805225653205,0.14811926117630375,1.4300566134843027
All three with RQ2 >= 15 bps,20,43,0.1021377672209026,0.5581395348837209,0.34441805225653205,0.21372148262718887,1.6205292702485967
All three with RQ2 >= 20 bps,20,21,0.0498812351543943,0.7142857142857143,0.34441805225653205,0.36986766202918225,2.073891625615764
All three with RQ2 >= 25 bps,20,16,0.03800475059382423,0.75,0.34441805225653205,0.40558194774346795,2.1775862068965517
All three with RQ2 >= 30 bps,20,10,0.023752969121140142,0.9,0.34441805225653205,0.555581947743468,2.6131034482758624
All three with RQ2 >= 40 bps,20,1,0.0023752969121140144,1.0,0.34441805225653205,0.6555819477434679,2.903448275862069
All intersection sessions,25,421,1.0,0.26128266033254155,0.26128266033254155,0.0,1.0
RQ1 high confidence,25,127,0.3016627078384798,0.23622047244094488,0.26128266033254155,-0.02506218789159667,0.9040801717967073
RQ3 large-move flag,25,237,0.5629453681710214,0.39662447257383965,0.26128266033254155,0.1353418122412981,1.5179900268507864
