rule,regime_type,regime,sessions,minimum_sample_met,direction_balanced_accuracy,direction_accuracy,mean_abs_move_bps,median_abs_move_bps,rate_ge_30bps,mean_directional_capture_bps,first_date,last_date
All intersection sessions,vix_regime,High,141,True,0.5576845502218637,0.5460992907801419,30.570325434599013,21.578679714667757,0.3617021276595745,4.013905730725,2024-04-15,2026-01-20
All intersection sessions,vix_regime,Low,127,True,0.5378787878787878,0.5196850393700787,16.07529894338898,10.844392513549295,0.12598425196850394,0.9702527171346801,2023-11-03,2026-01-23
All intersection sessions,vix_regime,Medium,153,True,0.5372049264454328,0.5490196078431373,14.998442817089167,11.26330588471669,0.12418300653594772,2.461551711273769,2024-02-13,2026-01-28
All intersection sessions,realized_vol_regime,High,130,True,0.6203151110050131,0.6384615384615384,34.00668306480365,24.083954870790514,0.4307692307692308,7.397434712500471,2023-11-09,2026-01-28
All intersection sessions,realized_vol_regime,Low,186,True,0.5229034123770966,0.532258064516129,12.365426677959931,10.016561867352557,0.053763440860215055,1.9213923475254213,2023-11-08,2026-01-26
All intersection sessions,realized_vol_regime,Medium,105,True,0.5093368902439024,0.42857142857142855,18.341928024556964,12.61112117453056,0.19047619047619047,-2.411859755538798,2023-11-03,2026-01-20
All intersection sessions,intraday_trend_regime,Negative pre-15:00 return,217,True,0.5687999320074791,0.576036866359447,20.989987792068582,14.580291722476879,0.21658986175115208,4.575280576580071,2023-11-06,2026-01-28
All intersection sessions,intraday_trend_regime,Positive pre-15:00 return,204,True,0.5225694444444444,0.5,20.058398295218726,12.01761743155949,0.19117647058823528,0.35766828340853124,2023-11-03,2026-01-26
RQ1 high confidence,vix_regime,High,54,True,0.5951704545454546,0.5370370370370371,29.45963872591028,19.741356722758894,0.3333333333333333,6.429098806016491,2024-08-05,2025-11-24
RQ1 high confidence,vix_regime,Low,30,True,0.5,0.6,13.138960834785163,12.034808128240094,0.06666666666666667,4.797751141238335,2023-11-06,2026-01-23
RQ1 high confidence,vix_regime,Medium,43,True,0.5216450216450216,0.5116279069767442,10.69137684318419,9.878374511875787,0.06976744186046512,0.6120747350272006,2024-04-05,2026-01-22
RQ1 high confidence,realized_vol_regime,High,37,True,0.6606060606060606,0.6216216216216216,35.055682374381135,25.45123965237872,0.43243243243243246,13.461266846597809,2024-04-05,2025-12-18
RQ1 high confidence,realized_vol_regime,Low,64,True,0.5,0.546875,10.449952433608106,9.378558133665283,0.03125,1.9026836235683935,2023-11-08,2026-01-23
RQ1 high confidence,realized_vol_regime,Medium,26,True,0.48787878787878786,0.4230769230769231,18.417742957561895,13.27144876540065,0.19230769230769232,-3.93905930247253,2023-11-06,2025-12-02
RQ1 high confidence,intraday_trend_regime,Negative pre-15:00 return,57,True,0.5795454545454546,0.5263157894736842,19.997948950373605,12.61112117453056,0.19298245614035087,3.309204575918949,2023-11-06,2026-01-22
RQ1 high confidence,intraday_trend_regime,Positive pre-15:00 return,70,True,0.5319410319410319,0.5571428571428572,18.640506147547644,10.807957049551176,0.17142857142857143,4.6971203220118625,2023-11-13,2026-01-23
RQ3 large-move flag,vix_regime,High,113,True,0.5483364720652856,0.5398230088495575,34.56652120914754,25.45123965237872,0.4247787610619469,4.822382651886223,2024-04-15,2025-11-21
RQ3 large-move flag,vix_regime,Low,70,True,0.527027027027027,0.5,21.702157072988854,14.24801319345137,0.2,1.6031342593689457,2023-11-03,2026-01-02
RQ3 large-move flag,vix_regime,Medium,54,True,0.6206171107994389,0.6481481481481481,20.594621214178606,15.651540493544225,0.24074074074074073,3.724557493951179,2024-02-13,2026-01-21
RQ3 large-move flag,realized_vol_regime,High,124,True,0.6170323928944619,0.6290322580645161,34.67995455241197,24.326288678122587,0.4435483870967742,6.786994577168002,2023-11-09,2026-01-21
RQ3 large-move flag,realized_vol_regime,Low,47,True,0.5091575091575091,0.5531914893617021,18.636384769379603,14.627675842314725,0.10638297872340426,4.726147196978463,2023-11-08,2025-05-12
RQ3 large-move flag,realized_vol_regime,Medium,66,True,0.47884615384615387,0.4090909090909091,20.622014979524398,14.82618124229007,0.22727272727272727,-3.1127500505225294,2023-11-03,2026-01-02
RQ3 large-move flag,intraday_trend_regime,Negative pre-15:00 return,136,True,0.5626216742375081,0.5588235294117647,25.661486581225404,17.532071923032078,0.2867647058823529,5.627099125798707,2023-11-06,2026-01-02
RQ3 large-move flag,intraday_trend_regime,Positive pre-15:00 return,101,True,0.5415686274509803,0.5445544554455446,30.17143824021664,21.096785041103683,0.3564356435643564,0.9206857562743465,2023-11-03,2026-01-21
RQ1 high confidence + RQ3,vix_regime,High,42,True,0.6,0.5238095238095238,34.72430159147594,26.56347135639725,0.40476190476190477,7.704446329535385,2024-08-05,2025-11-21
RQ1 high confidence + RQ3,vix_regime,Low,16,True,0.5,0.6875,18.045999739288792,14.714828483206045,0.125,9.69127634282689,2023-11-06,2024-08-30
RQ1 high confidence + RQ3,vix_regime,Medium,14,True,0.6444444444444444,0.7142857142857143,16.238390559038844,11.477582892673865,0.14285714285714285,5.180982380346065,2024-04-05,2025-12-18
RQ1 high confidence + RQ3,realized_vol_regime,High,36,True,0.6714285714285715,0.6388888888888888,36.02285065048668,26.56347135639725,0.4444444444444444,13.84179160440834,2024-04-05,2025-12-18
RQ1 high confidence + RQ3,realized_vol_regime,Low,19,True,0.5,0.631578947368421,16.622881097472465,14.627675842314725,0.05263157894736842,5.78175563379217,2023-11-08,2024-11-12
RQ1 high confidence + RQ3,realized_vol_regime,Medium,17,True,0.4930555555555556,0.47058823529411764,21.284515660450396,14.951094316066893,0.23529411764705882,-3.3515843617758962,2023-11-06,2025-06-20
RQ1 high confidence + RQ3,intraday_trend_regime,Negative pre-15:00 return,34,True,0.5984848484848485,0.5294117647058824,26.76554718923513,16.068047057629098,0.2647058823529412,5.169614614184023,2023-11-06,2025-12-18
RQ1 high confidence + RQ3,intraday_trend_regime,Positive pre-15:00 return,38,True,0.5782608695652174,0.6578947368421053,28.012250685872626,19.40103416457395,0.3157894736842105,9.879316414955383,2023-11-13,2025-11-21
RQ1 high confidence + RQ2 >= 20 bps,vix_regime,High,19,True,0.6477272727272727,0.631578947368421,49.21623673811922,36.56873225937329,0.631578947368421,24.54626167668824,2024-08-05,2025-11-21
RQ1 high confidence + RQ2 >= 20 bps,vix_regime,Medium,2,False,1.0,1.0,28.838095949454413,28.838095949454413,0.5,28.838095949454413,2024-09-11,2025-01-29
RQ1 high confidence + RQ2 >= 20 bps,realized_vol_regime,High,19,True,0.6488095238095238,0.631578947368421,49.84841084942647,40.67436629971999,0.6842105263157895,25.178435787995483,2024-08-05,2025-11-21
RQ1 high confidence + RQ2 >= 20 bps,realized_vol_regime,Medium,2,False,,1.0,22.832441892035593,22.832441892035593,0.0,22.832441892035593,2024-09-04,2025-01-14
RQ1 high confidence + RQ2 >= 20 bps,intraday_trend_regime,Negative pre-15:00 return,9,False,0.6666666666666666,0.6666666666666666,45.674889082477016,30.115743734770994,0.5555555555555556,27.590806177601767,2024-12-18,2025-11-13
RQ1 high confidence + RQ2 >= 20 bps,intraday_trend_regime,Positive pre-15:00 return,12,True,0.6666666666666667,0.6666666666666666,48.475890681740076,41.73286300173385,0.6666666666666666,22.97815901313079,2024-08-05,2025-11-21
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,vix_regime,High,19,True,0.6477272727272727,0.631578947368421,49.21623673811922,36.56873225937329,0.631578947368421,24.54626167668824,2024-08-05,2025-11-21
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,vix_regime,Medium,2,False,1.0,1.0,28.838095949454413,28.838095949454413,0.5,28.838095949454413,2024-09-11,2025-01-29
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,realized_vol_regime,High,19,True,0.6488095238095238,0.631578947368421,49.84841084942647,40.67436629971999,0.6842105263157895,25.178435787995483,2024-08-05,2025-11-21
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,realized_vol_regime,Medium,2,False,,1.0,22.832441892035593,22.832441892035593,0.0,22.832441892035593,2024-09-04,2025-01-14
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,intraday_trend_regime,Negative pre-15:00 return,9,False,0.6666666666666666,0.6666666666666666,45.674889082477016,30.115743734770994,0.5555555555555556,27.590806177601767,2024-12-18,2025-11-13
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,intraday_trend_regime,Positive pre-15:00 return,12,True,0.6666666666666667,0.6666666666666666,48.475890681740076,41.73286300173385,0.6666666666666666,22.97815901313079,2024-08-05,2025-11-21
