research_question,feature_group,mean_importance_per_feature,between_fold_std,positive_fold_share
RQ1 Direction,SPX momentum,0.01665381240256746,0.007595597294383279,1.0
RQ1 Direction,Price position,0.011916804559995718,0.007233617042190327,1.0
RQ1 Direction,VIX,0.007811638013365746,0.013804036414689053,0.6666666666666666
RQ1 Direction,Realised volatility,0.004011036046564787,0.011787703437021485,0.6666666666666666
RQ1 Direction,SPY volume,0.00017201767658677822,0.009847946949779194,0.6666666666666666
RQ1 Direction,True range,-0.0015500730361913742,0.024023401408710753,0.3333333333333333
RQ2 Magnitude,True range,0.1330724208133456,0.07125783673821043,1.0
RQ2 Magnitude,SPY volume,0.11642369518453773,0.17071026940754186,0.6666666666666666
RQ2 Magnitude,VIX,0.05711195353221543,0.12609855337000642,0.6666666666666666
RQ2 Magnitude,Realised volatility,0.05469918852868808,0.11158172140468656,0.6666666666666666
RQ2 Magnitude,SPX momentum,0.015530909113924287,0.09860869637332291,0.6666666666666666
RQ2 Magnitude,Price position,0.00435333117039926,0.028970567427870905,0.3333333333333333
RQ3 Large Movement,True range,0.029326811766054072,0.01987860904593673,1.0
RQ3 Large Movement,SPY volume,0.009379272767250315,0.01084821068961528,0.6666666666666666
RQ3 Large Movement,Realised volatility,0.008432637830166916,0.007055120531131885,1.0
RQ3 Large Movement,Price position,0.005278113310500906,0.002569119043762802,1.0
RQ3 Large Movement,VIX,0.003917372952747132,0.0012197814121589704,1.0
RQ3 Large Movement,SPX momentum,0.0028837885237616595,0.0020682394890888375,1.0
