research_question,feature,feature_group,outer_folds,mean_importance,between_fold_std,mean_within_fold_std,positive_fold_share,top_five_fold_count
RQ1 Direction,dist_from_day_high_pct,Price position,3,0.0431732051328231,0.020103476252125555,0.022573362799034682,1.0,3
RQ1 Direction,ret_last_15m,SPX momentum,3,0.03558620166511191,0.006372201722083729,0.014949401276065174,1.0,3
RQ1 Direction,vix_ret_last_15m,VIX,3,0.028016130696989754,0.012605609936502676,0.022498319902121266,1.0,3
RQ1 Direction,ret_last_60m,SPX momentum,3,0.023990995406407947,0.020918383464403934,0.015617644640350892,0.6666666666666666,1
RQ1 Direction,vix_ret_last_60m,VIX,3,0.021675907928642723,0.02064123594840353,0.012649606572681197,1.0,1
RQ1 Direction,realized_vol_30m,Realised volatility,3,0.01751738685007104,0.018903290351857418,0.019633680594729735,1.0,1
RQ1 Direction,ret_last_30m,SPX momentum,3,0.014442921354353945,0.013331815696813305,0.011898766868850686,1.0,1
RQ1 Direction,dist_from_day_low_pct,Price position,3,0.011314270614065253,0.006111852365699288,0.011751811349935831,1.0,1
RQ1 Direction,rv_open_to_1500,Realised volatility,3,0.006479944994897727,0.006460194869354372,0.0076358811064005695,1.0,0
RQ1 Direction,spy_volume_last_60m,SPY volume,3,0.005635088192005071,0.007735998180681211,0.013463638602213791,0.6666666666666666,0
RQ1 Direction,ret_open_to_1500,SPX momentum,3,0.00509736364513549,0.022913309896829076,0.019074552338726476,0.6666666666666666,0
RQ1 Direction,momentum_accel_60m_vs_prior,SPX momentum,3,0.004151579941828004,0.0070116717329922,0.01503757918083786,0.6666666666666666,0
RQ1 Direction,spy_dist_from_vwap_pct,Price position,3,0.003845785440613017,0.004384805446627449,0.004981466118669495,0.6666666666666666,0
RQ1 Direction,realized_vol_120m,Realised volatility,3,0.002140604960409844,0.021054445310862147,0.008452471518321377,0.6666666666666666,1
RQ1 Direction,spy_cum_volume_to_1500,SPY volume,3,0.0013278218734335174,0.005642971451644683,0.011856540718605238,0.6666666666666666,0
RQ1 Direction,spy_volume_accel_60m_vs_avg,SPY volume,3,-0.000752092399952848,0.016408423172235495,0.017384282802052054,0.3333333333333333,0
RQ1 Direction,atr_pct_open_to_1500,True range,3,-0.0015500730361913742,0.024023401408710753,0.018643300532054013,0.3333333333333333,0
RQ1 Direction,vix_level_1500,VIX,3,-0.0022173167423556943,0.008376276167110295,0.009669790966188588,0.6666666666666666,0
RQ1 Direction,spy_volume_last_30m,SPY volume,3,-0.005522746959138629,0.02477261939206712,0.02060308254028813,0.3333333333333333,0
RQ1 Direction,realized_vol_60m,Realised volatility,3,-0.010093792619119463,0.01949578120072278,0.024204685721702104,0.3333333333333333,0
RQ1 Direction,position_in_day_range,Price position,3,-0.010666042947518493,0.017757329572618042,0.01222363956736504,0.0,0
RQ1 Direction,vix_ret_last_30m,VIX,3,-0.01622816982981379,0.032132050301359655,0.013317337724457189,0.6666666666666666,0
RQ2 Magnitude,spy_volume_last_60m,SPY volume,3,0.2330845228803122,0.30281563651648996,0.20224283017792688,0.6666666666666666,2
RQ2 Magnitude,atr_pct_open_to_1500,True range,3,0.1330724208133456,0.07125783673821043,0.14893551945618339,1.0,3
RQ2 Magnitude,vix_ret_last_15m,VIX,3,0.1252484733387134,0.4226255953486249,0.15958646243952807,0.6666666666666666,2
RQ2 Magnitude,ret_last_15m,SPX momentum,3,0.10078074477440833,0.4375708505612663,0.1985910004288831,0.6666666666666666,2
RQ2 Magnitude,rv_open_to_1500,Realised volatility,3,0.09361065282144877,0.17013952072882332,0.14466630126661242,0.6666666666666666,1
RQ2 Magnitude,realized_vol_120m,Realised volatility,3,0.07043171173338335,0.12359281098073617,0.13341935716192604,0.6666666666666666,0
RQ2 Magnitude,vix_level_1500,VIX,3,0.06804083672701881,0.0359736708851746,0.084979598780481,1.0,1
RQ2 Magnitude,position_in_day_range,Price position,3,0.03387932610853411,0.03979617751872398,0.02744130787742352,0.6666666666666666,1
RQ2 Magnitude,ret_open_to_1500,SPX momentum,3,0.011430550727029823,0.0649168018949144,0.04810903072066449,0.6666666666666666,1
RQ2 Magnitude,realized_vol_30m,Realised volatility,3,5.5201031232124616e-05,0.04159782336350613,0.058948367901767516,0.3333333333333333,0
RQ2 Magnitude,spy_volume_accel_60m_vs_avg,SPY volume,3,-0.00023713251123673915,0.039239850615604456,0.11378854629420926,0.3333333333333333,0
RQ2 Magnitude,momentum_accel_60m_vs_prior,SPX momentum,3,-0.020463583807452057,0.11775272252884351,0.11765866473572521,0.6666666666666666,1
RQ2 Magnitude,vix_ret_last_60m,VIX,3,-0.021953449469085933,0.06474062005098262,0.05512377092474784,0.3333333333333333,1
RQ2 Magnitude,spy_dist_from_vwap_pct,Price position,3,-0.025172663767735592,0.032518631079004434,0.05017342213253493,0.3333333333333333,0
RQ2 Magnitude,ret_last_60m,SPX momentum,3,-0.029624075238288968,0.030057633004989228,0.07779310753255587,0.0,0
RQ3 Large Movement,spy_cum_volume_to_1500,SPY volume,3,0.03217522325305893,0.03163031339005091,0.01621177774426587,0.6666666666666666,2
RQ3 Large Movement,atr_pct_open_to_1500,True range,3,0.029326811766054072,0.01987860904593673,0.013868257069588727,1.0,3
RQ3 Large Movement,rv_open_to_1500,Realised volatility,3,0.022262059388443143,0.018863695005738236,0.013617797638070465,1.0,2
RQ3 Large Movement,ret_last_15m,SPX momentum,3,0.01819945127404383,0.02021128017887766,0.012079014589226078,1.0,2
RQ3 Large Movement,dist_from_day_high_pct,Price position,3,0.0180937937036724,0.00852135594803238,0.013451898225587131,1.0,2
RQ3 Large Movement,vix_ret_last_15m,VIX,3,0.013513605514155563,0.015078231343798617,0.008894795378083232,1.0,1
RQ3 Large Movement,realized_vol_120m,Realised volatility,3,0.005823489403039366,0.007949679054714802,0.010186860111977614,0.6666666666666666,0
RQ3 Large Movement,vix_level_1500,VIX,3,0.005573663796166267,0.004427751231856347,0.004321118054796679,1.0,1
RQ3 Large Movement,spy_volume_last_30m,SPY volume,3,0.004704163816051197,0.006378615611292071,0.014442206844889116,0.6666666666666666,1
RQ3 Large Movement,spy_volume_last_60m,SPY volume,3,0.00436250828091556,0.009296428335070784,0.012816935515408953,0.6666666666666666,0
RQ3 Large Movement,ret_open_to_1500,SPX momentum,3,0.0042089343556908606,0.006666877470519703,0.004405686623710998,0.6666666666666666,0
RQ3 Large Movement,realized_vol_60m,Realised volatility,3,0.00370962807282291,0.003236494885543385,0.011506136255345032,1.0,0
RQ3 Large Movement,dist_from_day_low_pct,Price position,3,0.0027906689863909807,0.004859222721765572,0.005583519601770205,0.6666666666666666,0
