research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,ret_open_to_1500,SPX momentum,0.009783480352846796,0.0034883720930232623
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,ret_last_15m,SPX momentum,0.03779069767441859,0.01690788457622822
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,ret_last_30m,SPX momentum,0.029631114675220525,0.01666185356653004
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,ret_last_60m,SPX momentum,0.0,0.0
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,momentum_accel_60m_vs_prior,SPX momentum,-0.002485966319166008,0.017147339630704674
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,vix_level_1500,VIX,0.004490777866880497,0.015551885427610655
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,vix_ret_last_15m,VIX,0.025130312750601437,0.01570706516318287
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,vix_ret_last_30m,VIX,-0.05326784282277468,0.029179486275538263
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,vix_ret_last_60m,VIX,0.007257417802726551,0.008730165910322373
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,realized_vol_30m,Realised volatility,0.008380112269446663,0.016216385133277705
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,realized_vol_60m,Realised volatility,-0.030062149157979157,0.02359088888897839
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,realized_vol_120m,Realised volatility,-0.018063352044907784,0.012837041757698465
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,rv_open_to_1500,Realised volatility,0.0023255813953488385,0.0059290924576660305
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,spy_volume_last_30m,SPY volume,-0.026383319967923036,0.02872758539105483
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,1,spy_volume_last_60m,SPY volume,0.0031876503608660707,0.023060727725547875
