task,dataset_variant,feature_set,model,outer_balanced_accuracy_mean,outer_balanced_accuracy_std,outer_accuracy_mean,outer_f1_mean,outer_recall_mean,outer_mcc_mean,outer_roc_auc_mean,outer_average_precision_mean,outer_threshold_mean,outer_threshold_std
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,0.5439042961662514,0.0704484613418385,0.537953795379538,0.47886490359156464,0.4748184561948979,0.09322251014066318,0.5585576043738772,0.5375089560782716,0.4916702745163013,0.031236382839187497
RQ1 Direction,Relaxed,Reduced,Extra Trees,0.5372911480920087,0.01940501192885441,0.5511551155115512,0.41308243727598565,0.3851879862467875,0.08369218022364022,0.5719452731646189,0.5519682122945561,0.5483932197750042,0.08350988350178654
RQ1 Direction,Strict,Reduced,Histogram Gradient Boosting,0.5317079539576283,0.02893564372190491,0.5434782608695653,0.4947068422012067,0.49624933413673555,0.06444297381320707,0.5296494433530955,0.5097680409031201,0.49704448133331036,0.005119108493424904
RQ1 Direction,Strict,Full,Histogram Gradient Boosting,0.5247910325771098,0.03639945448579678,0.5253623188405797,0.49875787981647957,0.5142254591181787,0.04917127292330912,0.5375429627501535,0.5183953579665652,0.4826365525683632,0.022836550929822123
RQ1 Direction,Relaxed,Reduced,Histogram Gradient Boosting,0.5161233205697505,0.05480610975063573,0.5214521452145214,0.4987927269673302,0.5245022863665328,0.03259254940329696,0.5698460745235797,0.5727567379464092,0.5255024752225578,0.08239973126165402
RQ1 Direction,Relaxed,Reduced,RBF SVC,0.5131061358975522,0.02890133426615431,0.5412541254125413,0.19589480874316942,0.13579896780879955,0.033654943899074016,0.5102957000894094,0.5094677725291485,0.627978382718173,0.22850995856634904
RQ1 Direction,Strict,Full,RBF SVC,0.5098612523416609,0.055541308766226274,0.5217391304347826,0.3501270878721859,0.31877166784557215,0.01386827838191674,0.4864127290178404,0.48358409226129734,0.27788679680644673,0.32475235170505307
RQ1 Direction,Relaxed,Reduced,Logistic ElasticNet,0.507958151374147,0.07221780449427748,0.49834983498349833,0.5385163815299893,0.677174149002472,0.023771262139539662,0.5231033739336731,0.49770647731406115,0.4996384556736386,0.002180240021940606
RQ1 Direction,Strict,Reduced,RBF SVC,0.5055173617567975,0.004994338888034626,0.4963768115942029,0.5482456140350876,0.7049767275331185,0.01151404862073809,0.509787155594686,0.49198256058351736,-0.1716018731289136,0.7251067706457973
RQ1 Direction,Relaxed,Full,Extra Trees,0.503443282425169,0.033592381279793485,0.4752475247524752,0.4133626947231058,0.5042331043465474,-0.0010798231273537555,0.5401410643804948,0.49391261054576036,0.4852358957111395,0.03946514239965782
RQ1 Direction,Relaxed,Full,RBF SVC,0.5003131157361612,0.026371710668303988,0.5181518151815182,0.3376998727822596,0.3321253755173211,-0.008075654958196989,0.4947572814616182,0.4952317336567967,0.2737106019999958,0.52017860076156
RQ1 Direction,Strict,Full,Extra Trees,0.499216041446714,0.05923407674473229,0.48550724637681153,0.4555507888841222,0.5022573856243396,-0.007775777751444067,0.5297338851309653,0.518390667380228,0.5188986184896623,0.033041201313798174
RQ1 Direction,Strict,Reduced,Extra Trees,0.49596402952243007,0.00589174882060786,0.47826086956521735,0.452968630538724,0.5103874669251526,-0.009261025374927963,0.5411358845073048,0.5356968585262485,0.5009557243190392,0.005585991179399219
RQ1 Direction,Strict,Full,Logistic ElasticNet,0.49551495220138236,0.041702929349430734,0.4855072463768116,0.4979618280180078,0.5594124684533633,-0.008320681560321515,0.5023766142485208,0.5132303715973108,0.49628667416190947,0.00643166901663105
RQ1 Direction,Relaxed,Full,Logistic ElasticNet,0.4849293861463737,0.0574671256984027,0.4587458745874587,0.5156114882890839,0.6511908013136979,-0.0256104133429701,0.49922887986579195,0.4912234994434783,0.4946592379073977,0.00923883733708263
RQ1 Direction,Strict,Reduced,Logistic ElasticNet,0.48413438067198195,0.07015420849938739,0.4673913043478261,0.4835236081747709,0.5517583156497515,-0.03281888318246363,0.4692882246776659,0.4716708508889372,0.5001662885506545,0.000551777226450931
