task,dataset_variant,feature_set,model,mae_bps,rmse_bps,r2,spearman,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,inner_best_search_score,best_parameters
RQ2 Magnitude,Strict,Full,Ridge Regression,23.45489867311849,34.41248817085035,0.06586413252914414,0.360294684277854,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,-8.215388161244576,"{""model__alpha"": 9.920676282679887}"
RQ2 Magnitude,Strict,Full,Ridge Regression,14.6487327294451,18.845912389730135,-0.9037359983302913,0.3234899742613628,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,-16.133998705224908,"{""model__alpha"": 195.40950604964772}"
RQ2 Magnitude,Strict,Full,Ridge Regression,13.02151303607175,18.564457866773576,0.10327657598807838,0.3187275557542037,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,-15.310950483704426,"{""model__alpha"": 345.85752888640803}"
RQ2 Magnitude,Strict,Full,Elastic Net,21.965344010452096,32.724995761749256,0.1552326980224885,0.3926298105821247,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,-8.072526424780923,"{""model__alpha"": 0.4771285535887599, ""model__l1_ratio"": 0.4450614124896827}"
RQ2 Magnitude,Strict,Full,Elastic Net,15.352707381513994,19.23738636028341,-0.9836476002822374,0.29565525638456913,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,-15.771383872232883,"{""model__alpha"": 2.588558055379328, ""model__l1_ratio"": 0.7260578185665586}"
RQ2 Magnitude,Strict,Full,Elastic Net,13.181485865319479,18.56470490314176,0.10325271051638807,0.33287610005702567,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,-15.193667558990674,"{""model__alpha"": 4.12807610323699, ""model__l1_ratio"": 0.22489608200945788}"
RQ2 Magnitude,Strict,Full,Extra Trees,19.593786378548927,33.6702864620836,0.1057241141400096,0.4693525268560331,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,-9.347539625195962,"{""model__bootstrap"": true, ""model__max_depth"": 5, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 332}"
RQ2 Magnitude,Strict,Full,Extra Trees,13.538083063280942,17.82691884964404,-0.7034326278275864,0.3395804756253564,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,-15.642811159102868,"{""model__bootstrap"": false, ""model__max_depth"": 3, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 677}"
RQ2 Magnitude,Strict,Full,Extra Trees,13.062874939553863,17.858326469817992,0.17019606815733368,0.40815005471386956,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,-14.426264225976396,"{""model__bootstrap"": false, ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 6, ""model__min_samples_split"": 11, ""model__n_estimators"": 693}"
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,21.969811129197474,38.252145916433406,-0.15422241765492473,0.4226376708845152,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,-9.195907799106896,"{""model__l2_regularization"": 0.5063217327633982, ""model__learning_rate"": 0.022830227226309528, ""model__loss"": ""absolute_error"", ""model__max_bins"": 255, ""model__max_iter"": 392, ""model__max_leaf_nodes"": 26, ""model__min_samples_leaf"": 22}"
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,10.184023713299604,14.20324463552365,-0.08130328209953808,0.3304717722670037,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,-16.250566276093647,"{""model__l2_regularization"": 0.0066388839654147715, ""model__learning_rate"": 0.11723634851710618, ""model__loss"": ""absolute_error"", ""model__max_bins"": 64, ""model__max_iter"": 125, ""model__max_leaf_nodes"": 26, ""model__min_samples_leaf"": 8}"
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,13.50203783868944,18.660132009418703,0.09401001746562843,0.3743045173620208,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,-14.209935087009375,"{""model__l2_regularization"": 3.3421335384409705, ""model__learning_rate"": 0.02056761919642222, ""model__loss"": ""absolute_error"", ""model__max_bins"": 32, ""model__max_iter"": 370, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 12}"
