task,dataset_variant,feature_set,model,outer_mae_bps_mean,outer_mae_bps_std,outer_rmse_bps_mean,outer_r2_mean,outer_spearman_mean
RQ2 Magnitude,Relaxed,Reduced,Extra Trees,13.766881414968148,4.664371517493886,20.97955766879834,0.06221876130212963,0.4443564356435643
RQ2 Magnitude,Relaxed,Full,Histogram Gradient Boosting,14.37838711369808,6.349417816040103,22.69611192046972,-0.02562646873890199,0.3888088005667372
RQ2 Magnitude,Relaxed,Full,Extra Trees,14.382632783693934,3.989185342646774,21.53913299406463,-0.046250676450500926,0.43580663948747816
RQ2 Magnitude,Strict,Reduced,Extra Trees,14.822869857587266,4.059481107865236,22.551816281748575,-0.03872698780130054,0.4216358676386727
RQ2 Magnitude,Strict,Reduced,Histogram Gradient Boosting,14.852829683909349,6.761435192378121,23.544747116428226,-0.006676609773416923,0.37713610790949176
RQ2 Magnitude,Relaxed,Full,Elastic Net,15.004541776218533,3.771261253228871,21.474799544370615,-0.16495924366737436,0.4085497961560862
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,15.15116557260948,7.717181544521169,23.528053100552352,-0.07743473337038875,0.3336025739951773
RQ2 Magnitude,Relaxed,Full,RBF SVR,15.241346770800376,7.572486503066068,23.494083348374375,-0.08661875369532257,0.3466434794242616
RQ2 Magnitude,Strict,Reduced,RBF SVR,15.244465561921265,6.604378802017732,23.739869078797394,-0.02848327319616269,0.3532842489686687
RQ2 Magnitude,Relaxed,Reduced,Histogram Gradient Boosting,15.277644352617786,5.685992592737965,23.98692533012992,-0.2564390115298012,0.3695695655790263
RQ2 Magnitude,Relaxed,Reduced,Elastic Net,15.317435393249907,4.738355227197686,21.746052195827303,-0.11795948107578917,0.3957251019219569
RQ2 Magnitude,Strict,Full,Extra Trees,15.336455502632313,3.70172164069686,23.095882930740615,-0.14040531385963437,0.4025810561574937
RQ2 Magnitude,Strict,Full,RBF SVR,15.385157234702923,6.667105207343325,23.845947959665125,-0.042595026737604326,0.3577074567812873
RQ2 Magnitude,Strict,Full,Elastic Net,15.747661611513815,3.8015973486193015,22.479299513971593,-0.1370864474935881,0.37366747324671584
RQ2 Magnitude,Strict,Full,Histogram Gradient Boosting,15.76535150782909,5.714314084978789,24.94773238543897,-0.23698643415415588,0.3813814443136181
RQ2 Magnitude,Relaxed,Reduced,Ridge Regression,16.00933816444292,4.405599034188888,22.70181780614565,-0.30786763293323993,0.3880955154338963
RQ2 Magnitude,Strict,Reduced,Elastic Net,16.175629102907948,4.781481570118472,23.02400263112428,-0.12372368307171007,0.3520439354941458
RQ2 Magnitude,Relaxed,Full,Ridge Regression,16.663512258171952,5.198111485130319,23.429429872020126,-0.4172030762708703,0.3694195301883129
RQ2 Magnitude,Strict,Reduced,Ridge Regression,16.75869449502743,4.507278441418084,23.859545247454026,-0.2685760143249265,0.3426578096984829
RQ2 Magnitude,Strict,Full,Ridge Regression,17.401795095901274,5.372373734170265,24.44272217965387,-0.3486792762713613,0.3338162538723548
