task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.6521739130434783,0.6666666666666667,0.5833333333333334,0.8333333333333334,0.6862745098039216,0.3486083443891982,0.7604761904761904,0.6940254290829334,0.45652173913043476,0.23750368995249865,1.5202461779911876,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.4843487645578221,0.5714285714285714,0.6730800653594772,"{""model__C"": 0.018711371838538108, ""model__l1_ratio"": 0.056884936651151796}"
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.6630434782608695,0.5729517396184063,0.16666666666666666,0.45454545454545453,0.24390243902439024,0.10098294410652912,0.6307519640852974,0.20903276595288245,0.11956521739130435,0.0894675485615781,1.7482740425150167,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.5058198282549725,0.6796116504854369,0.677796837789356,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.7608695652173914,0.7391304347826086,0.5161290322580645,0.6956521739130435,0.5925925925925926,0.43813459679356115,0.7410207939508506,0.5413294720046836,0.25,0.2913294720046836,2.1653178880187345,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.511552584133599,0.5970149253731343,0.5391055019299008,"{""model__C"": 0.018186578392755327, ""model__l1_ratio"": 0.11024132226573247}"
RQ3 Large Movement,Strict,Full,Extra Trees,0.6847826086956522,0.6966666666666668,0.6140350877192983,0.8333333333333334,0.7070707070707071,0.4035514851534939,0.7504761904761905,0.6557173930248617,0.45652173913043476,0.1991956538944269,1.436333337102078,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.5073332079346153,0.42857142857142855,0.6261363636363636,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 6, ""model__n_estimators"": 754}"
RQ3 Large Movement,Strict,Full,Extra Trees,0.6521739130434783,0.7631874298540965,0.24390243902439024,0.9090909090909091,0.38461538461538464,0.34360302158653483,0.77665544332211,0.3119938766995028,0.11956521739130435,0.19242865930819844,2.6094033323958414,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.4599649102588784,0.6929133858267716,0.6669339441953133,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 14, ""model__min_samples_split"": 9, ""model__n_estimators"": 213}"
RQ3 Large Movement,Strict,Full,Extra Trees,0.5,0.6086956521739131,0.3114754098360656,0.8260869565217391,0.4523809523809524,0.1991520894516187,0.74354127284184,0.4933508903705385,0.25,0.24335089037053848,1.973403561482154,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.4417595896734054,0.5988700564971752,0.5752315832508961,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 13, ""model__min_samples_split"": 13, ""model__n_estimators"": 242}"
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.6739130434782609,0.680952380952381,0.6153846153846154,0.7619047619047619,0.6808510638297872,0.36364052611670256,0.7123809523809524,0.6086314595899927,0.45652173913043476,0.1521097204595579,1.3331927210066505,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.013243864214654972,0.5882352941176471,0.6422705314009662,"{""model__l2_regularization"": 0.01097561044509189, ""model__learning_rate"": 0.1262183140744768, ""model__max_bins"": 32, ""model__max_iter"": 327, ""model__max_leaf_nodes"": 7, ""model__min_samples_leaf"": 8}"
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.7282608695652174,0.5314253647586981,0.15,0.2727272727272727,0.1935483870967742,0.049438800923845526,0.691358024691358,0.1993971469957935,0.11956521739130435,0.07983192960448915,1.6676852294193638,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.5780874983432102,0.625,0.5797751512677408,"{""model__l2_regularization"": 0.26721078948793947, ""model__learning_rate"": 0.059280630716139725, ""model__max_bins"": 64, ""model__max_iter"": 277, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 21}"
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.7391304347826086,0.5797101449275363,0.46153846153846156,0.2608695652173913,0.3333333333333333,0.1981740732880975,0.6880907372400755,0.3906165126834479,0.25,0.14061651268344788,1.5624660507337915,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.7643599539235262,0.5656565656565656,0.5228862524186698,"{""model__l2_regularization"": 3.7550997476557253, ""model__learning_rate"": 0.015416488647047099, ""model__max_bins"": 255, ""model__max_iter"": 186, ""model__max_leaf_nodes"": 24, ""model__min_samples_leaf"": 22}"
RQ3 Large Movement,Strict,Full,RBF SVC,0.5978260869565217,0.6223809523809524,0.5352112676056338,0.9047619047619048,0.672566371681416,0.29047893919601936,0.74,0.6733840887870381,0.45652173913043476,0.2168623496566034,1.4750318135335123,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,-0.6053669575419826,0.46153846153846156,0.6471330956625073,"{""model__C"": 3.274486343643001, ""model__gamma"": 0.0012654212015718546}"
