research_question,regime_type,regime,sessions,minimum_sample_met,first_date,last_date,balanced_accuracy,accuracy,mcc,positive_rate,mae_bps,rmse_bps,r2,spearman,average_precision,prevalence,average_precision_lift,precision,recall,f1
RQ1 Direction,VIX regime,High,100,True,2024-12-19,2026-03-20,0.501610305958132,0.5,0.003212860733145779,0.46,,,,,,,,,,
RQ1 Direction,VIX regime,Low,85,True,2024-12-16,2026-01-28,0.5961751662971175,0.6,0.19722073202077647,0.4823529411764706,,,,,,,,,,
RQ1 Direction,VIX regime,Medium,118,True,2024-12-18,2026-02-26,0.5095112671934445,0.5254237288135594,0.01940095821471845,0.4322033898305085,,,,,,,,,,
RQ1 Direction,Realised-volatility regime,High,114,True,2024-12-18,2026-03-20,0.5354064039408868,0.5350877192982456,0.07084553351298123,0.49122807017543857,,,,,,,,,,
RQ1 Direction,Realised-volatility regime,Low,98,True,2024-12-16,2026-03-04,0.603448275862069,0.6224489795918368,0.2097642460321081,0.40816326530612246,,,,,,,,,,
RQ1 Direction,Realised-volatility regime,Medium,91,True,2024-12-23,2026-03-17,0.44047619047619047,0.45054945054945056,-0.12267795075303138,0.46153846153846156,,,,,,,,,,
RQ1 Direction,Pre-15:00 trend,Negative pre-15:00 return,145,True,2024-12-17,2026-03-20,0.5443302891933028,0.5448275862068965,0.08960316442537326,0.496551724137931,,,,,,,,,,
RQ1 Direction,Pre-15:00 trend,Positive pre-15:00 return,158,True,2024-12-16,2026-03-19,0.5207509881422925,0.5316455696202531,0.041338903055546265,0.4177215189873418,,,,,,,,,,
RQ2 Magnitude,VIX regime,High,100,True,2024-12-19,2026-03-20,,,,,22.566536944533112,35.511384644891486,-0.10981764423493212,0.1212001200120012,,,,,,
RQ2 Magnitude,VIX regime,Low,85,True,2024-12-16,2026-01-28,,,,,7.026816044948397,9.212611125517672,-0.11221852059483606,0.10312683212820013,,,,,,
RQ2 Magnitude,VIX regime,Medium,118,True,2024-12-18,2026-02-26,,,,,11.679772907185171,18.18501834806817,0.10395490872932356,0.23360321964509403,,,,,,
RQ2 Magnitude,Realised-volatility regime,High,114,True,2024-12-18,2026-03-20,,,,,22.51811285792067,35.04950220023645,-0.10014775245972496,0.11646989732893219,,,,,,
RQ2 Magnitude,Realised-volatility regime,Low,98,True,2024-12-16,2026-03-04,,,,,6.328687345816021,7.6516979710942,-0.17541418934928,-0.0017660297483566996,,,,,,
RQ2 Magnitude,Realised-volatility regime,Medium,91,True,2024-12-23,2026-03-17,,,,,11.482088303613727,17.083801343906053,-0.006275865018307236,0.07333970377448638,,,,,,
RQ2 Magnitude,Pre-15:00 trend,Negative pre-15:00 return,145,True,2024-12-17,2026-03-20,,,,,14.62252698993751,22.32959340274227,0.06397500977890569,0.33737206739096204,,,,,,
RQ2 Magnitude,Pre-15:00 trend,Positive pre-15:00 return,158,True,2024-12-16,2026-03-19,,,,,13.366328150511622,25.16319155137584,0.11930508608291202,0.36202288247365594,,,,,,
RQ3 Large Movement,VIX regime,High,98,True,2024-12-19,2026-03-20,,,,,,,,,0.6566919142929898,0.46938775510204084,0.18730415919094895,0.5753424657534246,0.9130434782608695,0.7058823529411765
RQ3 Large Movement,VIX regime,Low,80,True,2024-12-17,2026-02-02,,,,,,,,,0.161229035639413,0.05,0.11122903563941298,0.0,0.0,0.0
RQ3 Large Movement,VIX regime,Medium,98,True,2024-12-18,2026-02-26,,,,,,,,,0.4652344085906974,0.2653061224489796,0.19992828614171781,0.43333333333333335,0.5,0.4642857142857143
RQ3 Large Movement,Realised-volatility regime,High,101,True,2024-12-18,2026-03-20,,,,,,,,,0.6507846908993715,0.5247524752475248,0.12603221565184675,0.5555555555555556,0.9433962264150944,0.6993006993006993
RQ3 Large Movement,Realised-volatility regime,Low,82,True,2024-12-17,2026-03-04,,,,,,,,,0.07292420327304047,0.04878048780487805,0.02414371546816242,0.0,0.0,0.0
RQ3 Large Movement,Realised-volatility regime,Medium,93,True,2024-12-23,2026-03-17,,,,,,,,,0.27752217733468953,0.20430107526881722,0.07322110206587232,0.29411764705882354,0.2631578947368421,0.2777777777777778
RQ3 Large Movement,Pre-15:00 trend,Negative pre-15:00 return,140,True,2024-12-17,2026-03-20,,,,,,,,,0.6172552408683878,0.3357142857142857,0.2815409551541021,0.55,0.7021276595744681,0.616822429906542
RQ3 Large Movement,Pre-15:00 trend,Positive pre-15:00 return,136,True,2024-12-20,2026-03-19,,,,,,,,,0.5187100386641487,0.21323529411764705,0.3054747445465016,0.46808510638297873,0.7586206896551724,0.5789473684210527
