rule,predicted_magnitude_threshold_bps,sessions,coverage,direction_balanced_accuracy,direction_accuracy,mean_abs_move_bps,median_abs_move_bps,mean_move_points,mean_directional_capture_bps,rate_ge_20bps,rate_ge_30bps,rate_ge_40bps
All three-model intersection sessions,,276,1.0,0.5322001689189189,0.5362318840579711,22.800663651238683,14.891576623387026,13.95880434782615,-0.8921606538069713,0.391304347826087,0.2427536231884058,0.15942028985507245
RQ1 high confidence only,,85,0.3079710144927536,0.5723536036036037,0.5764705882352941,20.456723452954943,13.820636612176251,12.798941176470654,0.6687032135218789,0.4,0.2235294117647059,0.11764705882352941
RQ3 large-move flag only,,107,0.38768115942028986,0.5081214689265536,0.5046728971962616,36.37927052661481,27.7494620002261,21.66046728971971,-1.0586885712657912,0.6355140186915887,0.45794392523364486,0.3177570093457944
RQ1 high confidence + RQ3 flag,,33,0.11956521739130435,0.5711538461538461,0.5454545454545454,31.90297445202525,27.7494620002261,19.63575757575766,4.650957768903665,0.6060606060606061,0.45454545454545453,0.24242424242424243
RQ2 predicted move >= 10 bps,10.0,239,0.8659420289855072,0.5182798711304104,0.5188284518828452,24.562600803975112,16.075742057259923,14.976694560669506,-1.2732321946680658,0.4309623430962343,0.2719665271966527,0.1799163179916318
RQ1 high confidence + RQ2 >= 10 bps,10.0,67,0.2427536231884058,0.53584229390681,0.5373134328358209,23.187524398736027,15.611602258951418,14.454477611940352,0.4716908305334557,0.47761194029850745,0.26865671641791045,0.14925373134328357
RQ2 >= 10 bps + RQ3 flag,10.0,106,0.38405797101449274,0.5122126436781609,0.5094339622641509,36.65680420622989,27.792672927789972,21.82556603773593,-1.0030092135662598,0.6415094339622641,0.46226415094339623,0.32075471698113206
RQ1 high confidence + RQ2 >= 10 bps + RQ3 flag,10.0,32,0.11594202898550725,0.582995951417004,0.5625,32.68242051341928,28.789318727298063,20.119375000000094,5.013822089413657,0.625,0.46875,0.25
RQ2 predicted move >= 15 bps,15.0,145,0.5253623188405797,0.5108488770460602,0.5103448275862069,30.03417929629866,20.558591987163144,18.135517241379397,-2.099719399369122,0.503448275862069,0.3586206896551724,0.23448275862068965
RQ1 high confidence + RQ2 >= 15 bps,15.0,41,0.14855072463768115,0.5607142857142857,0.5609756097560976,26.822557684054146,18.275390315365403,16.63975609756106,2.8513175461211615,0.4878048780487805,0.36585365853658536,0.1951219512195122
RQ2 >= 15 bps + RQ3 flag,15.0,89,0.322463768115942,0.518958543983822,0.5168539325842697,39.144313732959276,30.115743734770994,23.367078651685492,-1.6708112250853044,0.651685393258427,0.5056179775280899,0.34831460674157305
RQ1 high confidence + RQ2 >= 15 bps + RQ3 flag,15.0,27,0.09782608695652174,0.6083333333333334,0.5925925925925926,35.9116427236144,31.992005619239094,22.179259259259297,6.638278962136645,0.6666666666666666,0.5555555555555556,0.2962962962962963
RQ2 predicted move >= 20 bps,20.0,94,0.34057971014492755,0.552536231884058,0.5531914893617021,36.058449438707086,24.475035555525658,21.641489361702178,-0.6902942087349971,0.5851063829787234,0.43617021276595747,0.30851063829787234
RQ1 high confidence + RQ2 >= 20 bps,20.0,25,0.09057971014492754,0.5487012987012987,0.56,32.296351550012844,29.829175454370027,20.43480000000004,2.9148732091656804,0.6,0.48,0.24
RQ2 >= 20 bps + RQ3 flag,20.0,71,0.2572463768115942,0.536168521462639,0.5352112676056338,42.25964651556434,30.441377423472417,25.226760563380367,-2.642238679810587,0.676056338028169,0.5211267605633803,0.39436619718309857
RQ1 high confidence + RQ2 >= 20 bps + RQ3 flag,20.0,20,0.07246376811594203,0.6041666666666667,0.6,38.16226043602783,34.259697752169195,24.10500000000002,5.479569154024756,0.7,0.6,0.3
