rule,realised_move_threshold_bps,sessions,coverage,selected_event_rate,unconditional_event_rate,absolute_event_rate_lift,lift_ratio
All intersection sessions,20,276,1.0,0.391304347826087,0.391304347826087,0.0,1.0
RQ1 high confidence,20,85,0.3079710144927536,0.4,0.391304347826087,0.008695652173913049,1.0222222222222221
RQ3 large-move flag,20,107,0.38768115942028986,0.6355140186915887,0.391304347826087,0.24420967086550177,1.6240913811007267
RQ1 high confidence + RQ3,20,33,0.11956521739130435,0.6060606060606061,0.391304347826087,0.2147562582345191,1.5488215488215489
RQ1 high confidence + RQ2 >= 20 bps,20,25,0.09057971014492754,0.6,0.391304347826087,0.208695652173913,1.5333333333333332
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,20,20,0.07246376811594203,0.7,0.391304347826087,0.308695652173913,1.7888888888888888
All three with RQ2 >= 10 bps,20,32,0.11594202898550725,0.625,0.391304347826087,0.23369565217391303,1.597222222222222
All three with RQ2 >= 15 bps,20,27,0.09782608695652174,0.6666666666666666,0.391304347826087,0.27536231884057966,1.7037037037037035
All three with RQ2 >= 20 bps,20,20,0.07246376811594203,0.7,0.391304347826087,0.308695652173913,1.7888888888888888
All three with RQ2 >= 25 bps,20,10,0.036231884057971016,0.7,0.391304347826087,0.308695652173913,1.7888888888888888
All three with RQ2 >= 30 bps,20,3,0.010869565217391304,1.0,0.391304347826087,0.6086956521739131,2.5555555555555554
All three with RQ2 >= 40 bps,20,0,0.0,,0.391304347826087,,
All intersection sessions,25,276,1.0,0.3079710144927536,0.3079710144927536,0.0,1.0
RQ1 high confidence,25,85,0.3079710144927536,0.29411764705882354,0.3079710144927536,-0.013853367433930064,0.9550173010380624
RQ3 large-move flag,25,107,0.38768115942028986,0.5420560747663551,0.3079710144927536,0.2340850602736015,1.760087960417812
RQ1 high confidence + RQ3,25,33,0.11956521739130435,0.5454545454545454,0.3079710144927536,0.2374835309617918,1.7711229946524063
RQ1 high confidence + RQ2 >= 20 bps,25,25,0.09057971014492754,0.56,0.3079710144927536,0.25202898550724645,1.818352941176471
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,25,20,0.07246376811594203,0.7,0.3079710144927536,0.39202898550724635,2.2729411764705882
All three with RQ2 >= 10 bps,25,32,0.11594202898550725,0.5625,0.3079710144927536,0.2545289855072464,1.8264705882352943
All three with RQ2 >= 15 bps,25,27,0.09782608695652174,0.6666666666666666,0.3079710144927536,0.358695652173913,2.164705882352941
All three with RQ2 >= 20 bps,25,20,0.07246376811594203,0.7,0.3079710144927536,0.39202898550724635,2.2729411764705882
All three with RQ2 >= 25 bps,25,10,0.036231884057971016,0.7,0.3079710144927536,0.39202898550724635,2.2729411764705882
All three with RQ2 >= 30 bps,25,3,0.010869565217391304,1.0,0.3079710144927536,0.6920289855072463,3.2470588235294118
All three with RQ2 >= 40 bps,25,0,0.0,,0.3079710144927536,,
All intersection sessions,30,276,1.0,0.2427536231884058,0.2427536231884058,0.0,1.0
RQ1 high confidence,30,85,0.3079710144927536,0.2235294117647059,0.2427536231884058,-0.0192242114236999,0.9208077260755049
RQ3 large-move flag,30,107,0.38768115942028986,0.45794392523364486,0.2427536231884058,0.21519030204523906,1.8864555726042684
