session_date,spx_at_1500,rq1_confidence_percentile,rq2_predicted_move_bps,rq3_positive,ml_direction,mean_reversion_direction,strategy,required_option_type,option_ticker,option_type,otm_offset_points,strike_price,spot_for_selection,shares_per_contract,reference_available,entry_timestamp,exit_timestamp,entry_reference_price,exit_reference_price,entry_bar_volume,exit_bar_volume,entry_bar_vwap,exit_bar_vwap,contract_multiplier,multiplier_fallback_used,gross_option_change_points,gross_pnl_usd,gross_return_on_premium,entry_execution_penalty_points,exit_execution_penalty_points,entry_execution_price,exit_execution_price,commission_entry_usd,commission_exit_usd,total_commission_usd,capital_at_risk_usd,net_pnl_usd,net_return_on_premium,execution_scenario,winner,near_total_loss
2025-01-02,5844.89,0.7821782178217822,20.517258974943097,True,call,put,MeanReversion60m,put,O:SPXW250102P05845000,put,0.0,5845.0,5844.89,100.0,True,2025-01-02 15:00:00-05:00,2025-01-02 15:59:00-05:00,7.7,0.05,277.0,16.0,6.5668,0.05,100.0,False,-7.65,-765.0,-0.9935064935064936,0.0,0.0,7.7,0.05,0.0,0.0,0.0,770.0,-765.0,-0.9935064935064936,frictionless,False,True
2025-01-14,5827.14,0.900990099009901,22.37737767520894,True,call,call,MeanReversion60m,call,O:SPXW250114C05825000,call,0.0,5825.0,5827.14,100.0,True,2025-01-14 15:00:00-05:00,2025-01-14 15:59:00-05:00,9.0,16.8,469.0,40.0,8.0547,14.4077,100.0,False,7.800000000000001,780.0000000000001,0.8666666666666668,0.0,0.0,9.0,16.8,0.0,0.0,0.0,900.0,780.0000000000001,0.8666666666666668,frictionless,True,False
2025-04-02,5633.3,0.7425742574257426,26.98281836496217,True,call,call,MeanReversion60m,call,O:SPXW250402C05635000,call,0.0,5635.0,5633.3,100.0,True,2025-04-02 15:00:00-04:00,2025-04-02 15:58:00-04:00,9.5,42.37,139.0,1.0,12.6437,42.37,100.0,False,32.87,3286.9999999999995,3.4599999999999995,0.0,0.0,9.5,42.37,0.0,0.0,0.0,950.0,3286.9999999999995,3.4599999999999995,frictionless,True,False
2025-04-11,5340.08,0.8712871287128713,36.36815059506786,True,call,call,MeanReversion60m,call,O:SPXW250411C05340000,call,0.0,5340.0,5340.08,100.0,True,2025-04-11 15:00:00-04:00,2025-04-11 15:59:00-04:00,18.7,22.0,61.0,50.0,19.6974,21.6326,100.0,False,3.3000000000000007,330.00000000000006,0.17647058823529416,0.0,0.0,18.7,22.0,0.0,0.0,0.0,1870.0,330.00000000000006,0.17647058823529416,frictionless,True,False
2025-04-14,5425.400000000001,0.7029702970297029,26.30699902796927,True,call,put,MeanReversion60m,put,O:SPXW250414P05425000,put,0.0,5425.0,5425.400000000001,100.0,True,2025-04-14 15:00:00-04:00,2025-04-14 15:59:00-04:00,8.9,19.5,207.0,13.0,6.8884,18.75,100.0,False,10.6,1060.0,1.1910112359550562,0.0,0.0,8.9,19.5,0.0,0.0,0.0,890.0,1060.0,1.1910112359550562,frictionless,True,False
2025-05-07,5625.49,0.7722772277227723,22.27818685210461,True,call,put,MeanReversion60m,put,O:SPXW250507P05625000,put,0.0,5625.0,5625.49,100.0,True,2025-05-07 15:00:00-04:00,2025-05-07 15:59:00-04:00,13.3,0.05,166.0,1271.0,15.3736,0.1309,100.0,False,-13.25,-1325.0,-0.9962406015037594,0.0,0.0,13.3,0.05,0.0,0.0,0.0,1330.0,-1325.0,-0.9962406015037594,frictionless,False,True
2025-11-06,6750.46,0.9108910891089108,20.01487200424329,True,put,put,MeanReversion60m,put,O:SPXW251106P06750000,put,0.0,6750.0,6750.46,100.0,True,2025-11-06 15:00:00-05:00,2025-11-06 15:59:00-05:00,6.9,30.0,317.0,57.0,6.7598,31.6084,100.0,False,23.1,2310.0,3.347826086956522,0.0,0.0,6.9,30.0,0.0,0.0,0.0,690.0,2310.0,3.347826086956522,frictionless,True,False
2025-11-20,6595.8,0.7722772277227723,28.797777892989263,True,put,put,MeanReversion60m,put,O:SPXW251120P06595000,put,0.0,6595.0,6595.8,100.0,True,2025-11-20 15:00:00-05:00,2025-11-20 15:59:00-05:00,14.11,57.5,174.0,3.0,15.6462,57.5,100.0,False,43.39,4339.0,3.07512402551382,0.0,0.0,14.11,57.5,0.0,0.0,0.0,1411.0,4339.0,3.07512402551382,frictionless,True,False
2026-02-04,6904.85,0.7623762376237624,21.864479917945825,True,put,put,MeanReversion60m,put,O:SPXW260204P06905000,put,0.0,6905.0,6904.85,100.0,True,2026-02-04 15:00:00-05:00,2026-02-04 15:59:00-05:00,9.2,20.53,180.0,75.0,9.4921,22.1511,100.0,False,11.330000000000002,1133.0000000000002,1.2315217391304352,0.0,0.0,9.2,20.53,0.0,0.0,0.0,919.9999999999999,1133.0000000000002,1.2315217391304352,frictionless,True,False
2026-02-05,6812.4400000000005,0.9702970297029704,23.235087840985816,True,put,put,MeanReversion60m,put,O:SPXW260205P06810000,put,0.0,6810.0,6812.4400000000005,100.0,True,2026-02-05 15:00:00-05:00,2026-02-05 15:59:00-05:00,8.81,10.4,213.0,41.0,9.1682,11.7693,100.0,False,1.5899999999999999,159.0,0.18047673098751418,0.0,0.0,8.81,10.4,0.0,0.0,0.0,881.0,159.0,0.18047673098751418,frictionless,True,False
2026-02-11,6949.9400000000005,0.8118811881188119,20.791810367770744,True,call,put,MeanReversion60m,put,O:SPXW260211P06950000,put,0.0,6950.0,6949.9400000000005,100.0,True,2026-02-11 15:00:00-05:00,2026-02-11 15:59:00-05:00,4.8,8.0,622.0,635.0,5.1726,5.1729,100.0,False,3.2,320.0,0.6666666666666666,0.0,0.0,4.8,8.0,0.0,0.0,0.0,480.0,320.0,0.6666666666666666,frictionless,True,False
2026-02-17,6853.610000000001,0.7029702970297029,25.68389750699235,True,put,call,MeanReversion60m,call,O:SPXW260217C06855000,call,0.0,6855.0,6853.610000000001,100.0,True,2026-02-17 15:00:00-05:00,2026-02-17 15:59:00-05:00,6.4,0.03,443.0,27.0,6.9569,0.0307,100.0,False,-6.37,-637.0,-0.9953125,0.0,0.0,6.4,0.03,0.0,0.0,0.0,640.0,-637.0,-0.9953125,frictionless,False,True
2026-03-03,6826.92,0.7128712871287128,28.74760117699106,True,call,put,MeanReversion60m,put,O:SPXW260303P06825000,put,0.0,6825.0,6826.92,100.0,True,2026-03-03 15:00:00-05:00,2026-03-03 15:59:00-05:00,7.9,8.3,445.0,62.0,9.009,9.8881,100.0,False,0.40000000000000036,40.000000000000036,0.05063291139240511,0.0,0.0,7.9,8.3,0.0,0.0,0.0,790.0,40.000000000000036,0.05063291139240511,frictionless,True,False
2026-03-05,6784.96,0.9207920792079208,23.950568686776982,True,put,put,MeanReversion60m,put,O:SPXW260305P06785000,put,0.0,6785.0,6784.96,100.0,True,2026-03-05 15:00:00-05:00,2026-03-05 15:59:00-05:00,8.4,0.03,155.0,12.0,8.6676,0.03,100.0,False,-8.370000000000001,-837.0000000000001,-0.9964285714285716,0.0,0.0,8.4,0.03,0.0,0.0,0.0,840.0,-837.0000000000001,-0.9964285714285716,frictionless,False,True
2026-03-06,6762.88,0.9504950495049505,23.794925561468887,True,put,put,MeanReversion60m,put,O:SPXW260306P06765000,put,0.0,6765.0,6762.88,100.0,True,2026-03-06 15:00:00-05:00,2026-03-06 15:59:00-05:00,9.7,24.8,133.0,10.0,8.9854,24.23,100.0,False,15.100000000000001,1510.0000000000002,1.5567010309278355,0.0,0.0,9.7,24.8,0.0,0.0,0.0,969.9999999999999,1510.0000000000002,1.5567010309278355,frictionless,True,False
2026-03-09,6712.8,0.8712871287128713,30.97407447167244,True,put,put,MeanReversion60m,put,O:SPXW260309P06715000,put,0.0,6715.0,6712.8,100.0,True,2026-03-09 15:00:00-04:00,2026-03-09 15:59:00-04:00,8.6,0.05,438.0,1.0,8.2419,0.05,100.0,False,-8.549999999999999,-854.9999999999999,-0.9941860465116278,0.0,0.0,8.6,0.05,0.0,0.0,0.0,860.0,-854.9999999999999,-0.9941860465116278,frictionless,False,True
2026-03-13,6652.13,0.9603960396039604,27.093483832836466,True,put,put,MeanReversion60m,put,O:SPXW260313P06650000,put,0.0,6650.0,6652.13,100.0,True,2026-03-13 15:00:00-04:00,2026-03-13 15:59:00-04:00,7.0,18.0,513.0,134.0,7.5626,17.794,100.0,False,11.0,1100.0,1.5714285714285714,0.0,0.0,7.0,18.0,0.0,0.0,0.0,700.0,1100.0,1.5714285714285714,frictionless,True,False
2025-01-02,5844.89,0.7821782178217822,20.517258974943097,True,call,put,MeanReversion60m,put,O:SPXW250102P05840000,put,5.0,5840.0,5844.89,100.0,True,2025-01-02 15:00:00-05:00,2025-01-02 15:59:00-05:00,5.9,0.05,241.0,22.0,4.722,0.05,100.0,False,-5.8500000000000005,-585.0,-0.9915254237288136,0.0,0.0,5.9,0.05,0.0,0.0,0.0,590.0,-585.0,-0.9915254237288136,frictionless,False,True
2025-01-14,5827.14,0.900990099009901,22.37737767520894,True,call,call,MeanReversion60m,call,O:SPXW250114C05830000,call,5.0,5830.0,5827.14,100.0,True,2025-01-14 15:00:00-05:00,2025-01-14 15:59:00-05:00,6.0,11.7,549.0,176.0,5.8046,8.4157,100.0,False,5.699999999999999,569.9999999999999,0.9499999999999998,0.0,0.0,6.0,11.7,0.0,0.0,0.0,600.0,569.9999999999999,0.9499999999999998,frictionless,True,False
2025-04-02,5633.3,0.7425742574257426,26.98281836496217,True,call,call,MeanReversion60m,call,O:SPXW250402C05640000,call,5.0,5640.0,5633.3,100.0,True,2025-04-02 15:00:00-04:00,2025-04-02 15:59:00-04:00,7.3,33.0,302.0,13.0,10.1913,32.9692,100.0,False,25.7,2570.0,3.5205479452054793,0.0,0.0,7.3,33.0,0.0,0.0,0.0,730.0,2570.0,3.5205479452054793,frictionless,True,False
2025-04-11,5340.08,0.8712871287128713,36.36815059506786,True,call,call,MeanReversion60m,call,O:SPXW250411C05345000,call,5.0,5345.0,5340.08,100.0,True,2025-04-11 15:00:00-04:00,2025-04-11 15:59:00-04:00,16.1,13.9,48.0,40.0,17.9185,14.135,100.0,False,-2.200000000000001,-220.0000000000001,-0.13664596273291932,0.0,0.0,16.1,13.9,0.0,0.0,0.0,1610.0000000000002,-220.0000000000001,-0.13664596273291932,frictionless,False,False
2025-04-14,5425.400000000001,0.7029702970297029,26.30699902796927,True,call,put,MeanReversion60m,put,O:SPXW250414P05420000,put,5.0,5420.0,5425.400000000001,100.0,True,2025-04-14 15:00:00-04:00,2025-04-14 15:59:00-04:00,6.8,15.0,172.0,44.0,5.2404,14.4375,100.0,False,8.2,819.9999999999999,1.2058823529411764,0.0,0.0,6.8,15.0,0.0,0.0,0.0,680.0,819.9999999999999,1.2058823529411764,frictionless,True,False
2025-05-07,5625.49,0.7722772277227723,22.27818685210461,True,call,put,MeanReversion60m,put,O:SPXW250507P05620000,put,5.0,5620.0,5625.49,100.0,True,2025-05-07 15:00:00-04:00,2025-05-07 15:59:00-04:00,11.2,0.05,131.0,573.0,12.4905,0.0584,100.0,False,-11.149999999999999,-1114.9999999999998,-0.9955357142857141,0.0,0.0,11.2,0.05,0.0,0.0,0.0,1120.0,-1114.9999999999998,-0.9955357142857141,frictionless,False,True
2025-11-06,6750.46,0.9108910891089108,20.01487200424329,True,put,put,MeanReversion60m,put,O:SPXW251106P06745000,put,5.0,6745.0,6750.46,100.0,True,2025-11-06 15:00:00-05:00,2025-11-06 15:59:00-05:00,4.6,26.09,576.0,57.0,4.6023,26.6232,100.0,False,21.490000000000002,2149.0,4.6717391304347835,0.0,0.0,4.6,26.09,0.0,0.0,0.0,459.99999999999994,2149.0,4.6717391304347835,frictionless,True,False
2025-11-20,6595.8,0.7722772277227723,28.797777892989263,True,put,put,MeanReversion60m,put,O:SPXW251120P06590000,put,5.0,6590.0,6595.8,100.0,True,2025-11-20 15:00:00-05:00,2025-11-20 15:59:00-05:00,11.5,48.2,717.0,8.0,14.4916,50.7387,100.0,False,36.7,3670.0000000000005,3.191304347826087,0.0,0.0,11.5,48.2,0.0,0.0,0.0,1150.0,3670.0000000000005,3.191304347826087,frictionless,True,False
2026-02-04,6904.85,0.7623762376237624,21.864479917945825,True,put,put,MeanReversion60m,put,O:SPXW260204P06900000,put,5.0,6900.0,6904.85,100.0,True,2026-02-04 15:00:00-05:00,2026-02-04 15:59:00-05:00,6.96,16.9,462.0,217.0,7.0375,16.4712,100.0,False,9.939999999999998,993.9999999999998,1.4281609195402296,0.0,0.0,6.96,16.9,0.0,0.0,0.0,696.0,993.9999999999998,1.4281609195402296,frictionless,True,False
2026-02-05,6812.4400000000005,0.9702970297029704,23.235087840985816,True,put,put,MeanReversion60m,put,O:SPXW260205P06805000,put,5.0,6805.0,6812.4400000000005,100.0,True,2026-02-05 15:00:00-05:00,2026-02-05 15:59:00-05:00,6.4,5.9,260.0,192.0,7.0414,7.288,100.0,False,-0.5,-50.0,-0.078125,0.0,0.0,6.4,5.9,0.0,0.0,0.0,640.0,-50.0,-0.078125,frictionless,False,False
2026-02-11,6949.9400000000005,0.8118811881188119,20.791810367770744,True,call,put,MeanReversion60m,put,O:SPXW260211P06945000,put,5.0,6945.0,6949.9400000000005,100.0,True,2026-02-11 15:00:00-05:00,2026-02-11 15:59:00-05:00,3.0,2.5,594.0,1847.0,3.1477,0.9877,100.0,False,-0.5,-50.0,-0.16666666666666666,0.0,0.0,3.0,2.5,0.0,0.0,0.0,300.0,-50.0,-0.16666666666666666,frictionless,False,False
2026-02-17,6853.610000000001,0.7029702970297029,25.68389750699235,True,put,call,MeanReversion60m,call,O:SPXW260217C06860000,call,5.0,6860.0,6853.610000000001,100.0,True,2026-02-17 15:00:00-05:00,2026-02-17 15:59:00-05:00,4.0,0.05,399.0,16.0,4.6124,0.0388,100.0,False,-3.95,-395.0,-0.9875,0.0,0.0,4.0,0.05,0.0,0.0,0.0,400.0,-395.0,-0.9875,frictionless,False,True
2026-03-03,6826.92,0.7128712871287128,28.74760117699106,True,call,put,MeanReversion60m,put,O:SPXW260303P06820000,put,5.0,6820.0,6826.92,100.0,True,2026-03-03 15:00:00-05:00,2026-03-03 15:59:00-05:00,6.1,3.5,266.0,253.0,6.8593,4.8827,100.0,False,-2.5999999999999996,-259.99999999999994,-0.42622950819672123,0.0,0.0,6.1,3.5,0.0,0.0,0.0,610.0,-259.99999999999994,-0.42622950819672123,frictionless,False,False
2026-03-05,6784.96,0.9207920792079208,23.950568686776982,True,put,put,MeanReversion60m,put,O:SPXW260305P06780000,put,5.0,6780.0,6784.96,100.0,True,2026-03-05 15:00:00-05:00,2026-03-05 15:59:00-05:00,6.46,0.03,138.0,10.0,6.3199,0.03,100.0,False,-6.43,-643.0,-0.9953560371517027,0.0,0.0,6.46,0.03,0.0,0.0,0.0,646.0,-643.0,-0.9953560371517027,frictionless,False,True
2026-03-06,6762.88,0.9504950495049505,23.794925561468887,True,put,put,MeanReversion60m,put,O:SPXW260306P06760000,put,5.0,6760.0,6762.88,100.0,True,2026-03-06 15:00:00-05:00,2026-03-06 15:59:00-05:00,7.83,18.73,287.0,26.0,6.8395,21.21,100.0,False,10.9,1090.0,1.392081736909323,0.0,0.0,7.83,18.73,0.0,0.0,0.0,783.0,1090.0,1.392081736909323,frictionless,True,False
2026-03-09,6712.8,0.8712871287128713,30.97407447167244,True,put,put,MeanReversion60m,put,O:SPXW260309P06710000,put,5.0,6710.0,6712.8,100.0,True,2026-03-09 15:00:00-04:00,2026-03-09 15:55:00-04:00,6.42,0.03,601.0,44.0,6.3906,0.0323,100.0,False,-6.39,-639.0,-0.9953271028037384,0.0,0.0,6.42,0.03,0.0,0.0,0.0,642.0,-639.0,-0.9953271028037384,frictionless,False,True
2026-03-13,6652.13,0.9603960396039604,27.093483832836466,True,put,put,MeanReversion60m,put,O:SPXW260313P06645000,put,5.0,6645.0,6652.13,100.0,True,2026-03-13 15:00:00-04:00,2026-03-13 15:59:00-04:00,5.2,13.8,214.0,51.0,5.584,12.7527,100.0,False,8.600000000000001,860.0000000000001,1.653846153846154,0.0,0.0,5.2,13.8,0.0,0.0,0.0,520.0,860.0000000000001,1.653846153846154,frictionless,True,False
2025-01-02,5844.89,0.7821782178217822,20.517258974943097,True,call,put,MeanReversion60m,put,O:SPXW250102P05835000,put,10.0,5835.0,5844.89,100.0,True,2025-01-02 15:00:00-05:00,2025-01-02 15:59:00-05:00,4.2,0.05,409.0,48.0,3.1766,0.05,100.0,False,-4.15,-415.00000000000006,-0.9880952380952382,0.0,0.0,4.2,0.05,0.0,0.0,0.0,420.0,-415.00000000000006,-0.9880952380952382,frictionless,False,True
2025-01-14,5827.14,0.900990099009901,22.37737767520894,True,call,call,MeanReversion60m,call,O:SPXW250114C05835000,call,10.0,5835.0,5827.14,100.0,True,2025-01-14 15:00:00-05:00,2025-01-14 15:59:00-05:00,4.1,6.6,418.0,743.0,3.8301,4.1684,100.0,False,2.5,250.0,0.6097560975609757,0.0,0.0,4.1,6.6,0.0,0.0,0.0,409.99999999999994,250.0,0.6097560975609757,frictionless,True,False
2025-04-02,5633.3,0.7425742574257426,26.98281836496217,True,call,call,MeanReversion60m,call,O:SPXW250402C05645000,call,10.0,5645.0,5633.3,100.0,True,2025-04-02 15:00:00-04:00,2025-04-02 15:59:00-04:00,5.5,27.5,251.0,2.0,7.7804,28.7,100.0,False,22.0,2200.0,4.0,0.0,0.0,5.5,27.5,0.0,0.0,0.0,550.0,2200.0,4.0,frictionless,True,False
2025-04-11,5340.08,0.8712871287128713,36.36815059506786,True,call,call,MeanReversion60m,call,O:SPXW250411C05350000,call,10.0,5350.0,5340.08,100.0,True,2025-04-11 15:00:00-04:00,2025-04-11 15:59:00-04:00,13.5,11.0,118.0,161.0,15.2172,10.3773,100.0,False,-2.5,-250.0,-0.18518518518518517,0.0,0.0,13.5,11.0,0.0,0.0,0.0,1350.0,-250.0,-0.18518518518518517,frictionless,False,False
2025-04-14,5425.400000000001,0.7029702970297029,26.30699902796927,True,call,put,MeanReversion60m,put,O:SPXW250414P05415000,put,10.0,5415.0,5425.400000000001,100.0,True,2025-04-14 15:00:00-04:00,2025-04-14 15:59:00-04:00,4.97,9.3,74.0,164.0,3.9651,9.1011,100.0,False,4.330000000000001,433.0000000000001,0.8712273641851109,0.0,0.0,4.97,9.3,0.0,0.0,0.0,497.0,433.0000000000001,0.8712273641851109,frictionless,True,False
2025-05-07,5625.49,0.7722772277227723,22.27818685210461,True,call,put,MeanReversion60m,put,O:SPXW250507P05615000,put,10.0,5615.0,5625.49,100.0,True,2025-05-07 15:00:00-04:00,2025-05-07 15:59:00-04:00,9.1,0.03,83.0,222.0,10.1117,0.0494,100.0,False,-9.07,-907.0,-0.9967032967032967,0.0,0.0,9.1,0.03,0.0,0.0,0.0,910.0,-907.0,-0.9967032967032967,frictionless,False,True
2025-11-06,6750.46,0.9108910891089108,20.01487200424329,True,put,put,MeanReversion60m,put,O:SPXW251106P06740000,put,10.0,6740.0,6750.46,100.0,True,2025-11-06 15:00:00-05:00,2025-11-06 15:59:00-05:00,3.2,21.5,300.0,210.0,3.0862,22.1109,100.0,False,18.3,1830.0,5.71875,0.0,0.0,3.2,21.5,0.0,0.0,0.0,320.0,1830.0,5.71875,frictionless,True,False
2025-11-20,6595.8,0.7722772277227723,28.797777892989263,True,put,put,MeanReversion60m,put,O:SPXW251120P06585000,put,10.0,6585.0,6595.8,100.0,True,2025-11-20 15:00:00-05:00,2025-11-20 15:59:00-05:00,9.4,46.46,135.0,14.0,11.4936,46.5643,100.0,False,37.06,3706.0,3.942553191489362,0.0,0.0,9.4,46.46,0.0,0.0,0.0,940.0,3706.0,3.942553191489362,frictionless,True,False
2026-02-04,6904.85,0.7623762376237624,21.864479917945825,True,put,put,MeanReversion60m,put,O:SPXW260204P06895000,put,10.0,6895.0,6904.85,100.0,True,2026-02-04 15:00:00-05:00,2026-02-04 15:59:00-05:00,5.2,12.2,288.0,95.0,5.2348,11.5407,100.0,False,6.999999999999999,699.9999999999999,1.346153846153846,0.0,0.0,5.2,12.2,0.0,0.0,0.0,520.0,699.9999999999999,1.346153846153846,frictionless,True,False
2026-02-05,6812.4400000000005,0.9702970297029704,23.235087840985816,True,put,put,MeanReversion60m,put,O:SPXW260205P06800000,put,10.0,6800.0,6812.4400000000005,100.0,True,2026-02-05 15:00:00-05:00,2026-02-05 15:59:00-05:00,4.8,1.0,269.0,1023.0,5.2604,2.5183,100.0,False,-3.8,-380.0,-0.7916666666666666,0.0,0.0,4.8,1.0,0.0,0.0,0.0,480.0,-380.0,-0.7916666666666666,frictionless,False,False
2026-02-11,6949.9400000000005,0.8118811881188119,20.791810367770744,True,call,put,MeanReversion60m,put,O:SPXW260211P06940000,put,10.0,6940.0,6949.9400000000005,100.0,True,2026-02-11 15:00:00-05:00,2026-02-11 15:59:00-05:00,1.85,0.05,566.0,1323.0,1.943,0.0724,100.0,False,-1.8,-180.0,-0.972972972972973,0.0,0.0,1.85,0.05,0.0,0.0,0.0,185.0,-180.0,-0.972972972972973,frictionless,False,True
2026-02-17,6853.610000000001,0.7029702970297029,25.68389750699235,True,put,call,MeanReversion60m,call,O:SPXW260217C06865000,call,10.0,6865.0,6853.610000000001,100.0,True,2026-02-17 15:00:00-05:00,2026-02-17 15:59:00-05:00,2.45,0.05,453.0,7.0,2.7478,0.0357,100.0,False,-2.4000000000000004,-240.00000000000003,-0.9795918367346939,0.0,0.0,2.45,0.05,0.0,0.0,0.0,245.00000000000003,-240.00000000000003,-0.9795918367346939,frictionless,False,True
2026-03-03,6826.92,0.7128712871287128,28.74760117699106,True,call,put,MeanReversion60m,put,O:SPXW260303P06815000,put,10.0,6815.0,6826.92,100.0,True,2026-03-03 15:00:00-05:00,2026-03-03 15:59:00-05:00,4.64,0.3,169.0,1387.0,5.0955,1.0608,100.0,False,-4.34,-434.0,-0.935344827586207,0.0,0.0,4.64,0.3,0.0,0.0,0.0,463.99999999999994,-434.0,-0.935344827586207,frictionless,False,True
2026-03-05,6784.96,0.9207920792079208,23.950568686776982,True,put,put,MeanReversion60m,put,O:SPXW260305P06775000,put,10.0,6775.0,6784.96,100.0,True,2026-03-05 15:00:00-05:00,2026-03-05 15:59:00-05:00,4.5,0.05,262.0,7.0,4.5246,0.0329,100.0,False,-4.45,-445.0,-0.9888888888888889,0.0,0.0,4.5,0.05,0.0,0.0,0.0,450.0,-445.0,-0.9888888888888889,frictionless,False,True
2026-03-06,6762.88,0.9504950495049505,23.794925561468887,True,put,put,MeanReversion60m,put,O:SPXW260306P06755000,put,10.0,6755.0,6762.88,100.0,True,2026-03-06 15:00:00-05:00,2026-03-06 15:59:00-05:00,5.88,14.2,163.0,8.0,5.1462,14.765,100.0,False,8.32,832.0,1.4149659863945578,0.0,0.0,5.88,14.2,0.0,0.0,0.0,588.0,832.0,1.4149659863945578,frictionless,True,False
2026-03-09,6712.8,0.8712871287128713,30.97407447167244,True,put,put,MeanReversion60m,put,O:SPXW260309P06705000,put,10.0,6705.0,6712.8,100.0,True,2026-03-09 15:00:00-04:00,2026-03-09 15:59:00-04:00,4.5,0.03,297.0,2.0,4.4192,0.03,100.0,False,-4.47,-447.0,-0.9933333333333333,0.0,0.0,4.5,0.03,0.0,0.0,0.0,450.0,-447.0,-0.9933333333333333,frictionless,False,True
2026-03-13,6652.13,0.9603960396039604,27.093483832836466,True,put,put,MeanReversion60m,put,O:SPXW260313P06640000,put,10.0,6640.0,6652.13,100.0,True,2026-03-13 15:00:00-04:00,2026-03-13 15:59:00-04:00,3.8,8.0,325.0,191.0,4.1114,7.7194,100.0,False,4.2,420.0,1.105263157894737,0.0,0.0,3.8,8.0,0.0,0.0,0.0,380.0,420.0,1.105263157894737,frictionless,True,False
2025-01-02,5844.89,0.7821782178217822,20.517258974943097,True,call,put,MeanReversion60m,put,O:SPXW250102P05830000,put,15.0,5830.0,5844.89,100.0,True,2025-01-02 15:00:00-05:00,2025-01-02 15:59:00-05:00,3.0,0.05,299.0,8.0,2.2607,0.05,100.0,False,-2.95,-295.0,-0.9833333333333333,0.0,0.0,3.0,0.05,0.0,0.0,0.0,300.0,-295.0,-0.9833333333333333,frictionless,False,True
2025-01-14,5827.14,0.900990099009901,22.37737767520894,True,call,call,MeanReversion60m,call,O:SPXW250114C05840000,call,15.0,5840.0,5827.14,100.0,True,2025-01-14 15:00:00-05:00,2025-01-14 15:59:00-05:00,2.7,1.45,779.0,2072.0,2.7263,0.6415,100.0,False,-1.2500000000000002,-125.00000000000003,-0.4629629629629631,0.0,0.0,2.7,1.45,0.0,0.0,0.0,270.0,-125.00000000000003,-0.4629629629629631,frictionless,False,False
2025-04-02,5633.3,0.7425742574257426,26.98281836496217,True,call,call,MeanReversion60m,call,O:SPXW250402C05650000,call,15.0,5650.0,5633.3,100.0,True,2025-04-02 15:00:00-04:00,2025-04-02 15:59:00-04:00,4.0,20.1,470.0,25.0,5.7497,23.2176,100.0,False,16.1,1610.0000000000002,4.025,0.0,0.0,4.0,20.1,0.0,0.0,0.0,400.0,1610.0000000000002,4.025,frictionless,True,False
