volume,vwap,open,close,high,low,timestamp_ms,transactions,timestamp,session_date,option_ticker,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode,spx_at_1500,rq1_prediction,rq1_confidence_percentile,rq2_predicted_move_bps,rq3_positive,ml_direction,mean_reversion_direction,actual_abs_move_bps,actual_signed_move_bps
30,16.2733,16.57,15.0,16.57,15.0,1735847700000,6,2025-01-02 14:55:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
21,14.7571,15.69,13.7,15.69,13.6,1735847760000,7,2025-01-02 14:56:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
27,10.5774,10.7,10.0,10.9,10.0,1735847820000,15,2025-01-02 14:57:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
71,10.0166,10.1,10.43,10.6,9.6,1735847880000,20,2025-01-02 14:58:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
175,8.2949,10.3,8.3,10.3,7.8,1735847940000,61,2025-01-02 14:59:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
141,9.3317,8.93,9.7,10.32,8.9,1735848000000,51,2025-01-02 15:00:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
64,9.862,9.9,9.65,10.81,9.5,1735848060000,33,2025-01-02 15:01:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
35,10.7654,9.79,11.5,11.5,9.79,1735848120000,25,2025-01-02 15:02:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
19,14.0347,12.22,14.33,14.8,12.22,1735848180000,15,2025-01-02 15:03:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
29,16.219,14.43,18.3,19.1,14.0,1735848240000,14,2025-01-02 15:04:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
27,17.1674,18.2,15.6,18.2,15.6,1735848300000,15,2025-01-02 15:05:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
2,17.435,16.77,18.1,18.1,16.77,1735848360000,2,2025-01-02 15:06:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
101,16.2921,16.3,15.5,16.3,15.5,1735848420000,8,2025-01-02 15:07:00-05:00,2025-01-02,O:SPXW250102C05845000,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of,5844.89,1.0,0.7821782178217822,20.517258974943097,True,call,put,40.97596361950284,40.97596361950284
