session_date,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode
2024-12-20,call,0,selected,O:SPX241220C05675000,SPX,2024-12-20,5675,5950.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,call,5,selected,O:SPX241220C05675000,SPX,2024-12-20,5675,5955.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,call,10,selected,O:SPX241220C05675000,SPX,2024-12-20,5675,5960.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,call,15,selected,O:SPX241220C05675000,SPX,2024-12-20,5675,5965.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,call,20,selected,O:SPX241220C05675000,SPX,2024-12-20,5675,5970.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,call,25,selected,O:SPX241220C05675000,SPX,2024-12-20,5675,5975.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,call,30,selected,O:SPX241220C05675000,SPX,2024-12-20,5675,5980.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,put,0,selected,O:SPX241220P05675000,SPX,2024-12-20,5675,5950.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,put,5,selected,O:SPX241220P05675000,SPX,2024-12-20,5675,5945.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,put,10,selected,O:SPX241220P05675000,SPX,2024-12-20,5675,5940.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,put,15,selected,O:SPX241220P05675000,SPX,2024-12-20,5675,5935.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,put,20,selected,O:SPX241220P05675000,SPX,2024-12-20,5675,5930.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,put,25,selected,O:SPX241220P05675000,SPX,2024-12-20,5675,5925.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2024-12-20,put,30,selected,O:SPX241220P05675000,SPX,2024-12-20,5675,5920.55,5950.55,-275.5500000000002,european,100,XCBO,SPX,as_of
2025-01-02,call,0,selected,O:SPXW250102C05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of
2025-01-02,call,5,selected,O:SPXW250102C05850000,SPX,2025-01-02,5850,5849.89,5844.89,5.109999999999673,european,100,XCBO,SPX,as_of
2025-01-02,call,10,selected,O:SPXW250102C05855000,SPX,2025-01-02,5855,5854.89,5844.89,10.109999999999673,european,100,XCBO,SPX,as_of
2025-01-02,call,15,selected,O:SPXW250102C05860000,SPX,2025-01-02,5860,5859.89,5844.89,15.109999999999673,european,100,XCBO,SPX,as_of
2025-01-02,call,20,selected,O:SPXW250102C05865000,SPX,2025-01-02,5865,5864.89,5844.89,20.109999999999673,european,100,XCBO,SPX,as_of
2025-01-02,call,25,selected,O:SPXW250102C05870000,SPX,2025-01-02,5870,5869.89,5844.89,25.109999999999673,european,100,XCBO,SPX,as_of
2025-01-02,call,30,selected,O:SPXW250102C05875000,SPX,2025-01-02,5875,5874.89,5844.89,30.109999999999673,european,100,XCBO,SPX,as_of
2025-01-02,put,0,selected,O:SPXW250102P05845000,SPX,2025-01-02,5845,5844.89,5844.89,0.10999999999967258,european,100,XCBO,SPX,as_of
2025-01-02,put,5,selected,O:SPXW250102P05840000,SPX,2025-01-02,5840,5839.89,5844.89,-4.890000000000327,european,100,XCBO,SPX,as_of
