strategy,policy,paired_trades,mean_pnl_difference_vs_hold_usd,median_pnl_difference_vs_hold_usd,share_policy_beats_hold
MeanReversion60m,stop50_only,17,-194.73463235294116,0.0,0.29411764705882354
RQ1_ML,stop50_only,17,-60.101470588235344,0.0,0.35294117647058826
MeanReversion60m,tp100_only,17,-162.88588235294114,0.0,0.23529411764705882
RQ1_ML,tp100_only,17,-257.50588235294117,0.0,0.17647058823529413
MeanReversion60m,stop50_tp100,17,-446.32536764705884,-408.50000000000006,0.35294117647058826
RQ1_ML,stop50_tp100,17,-383.8405147058824,-313.5000000000002,0.4117647058823529
MeanReversion60m,stop40_tp80,17,-455.7306470588235,-315.6850000000001,0.4117647058823529
RQ1_ML,stop40_tp80,17,-405.05429411764715,-298.49,0.47058823529411764
MeanReversion60m,stop60_tp120,17,-329.37561764705873,-173.85000000000002,0.4117647058823529
RQ1_ML,stop60_tp120,17,-376.2540294117647,-173.85000000000002,0.29411764705882354
MeanReversion60m,breakeven_after_50,17,-529.0619852941176,-224.67499999999987,0.29411764705882354
RQ1_ML,breakeven_after_50,17,-461.2431617647058,0.0,0.35294117647058826
MeanReversion60m,trail25_after_50,17,-550.0346323529411,-548.60125,0.4117647058823529
RQ1_ML,trail25_after_50,17,-498.53345588235294,-314.45000000000005,0.47058823529411764
MeanReversion60m,time_exit_1530,17,-460.8970588235294,25.0,0.5294117647058824
RQ1_ML,time_exit_1530,17,-474.7705882352941,25.0,0.5294117647058824
MeanReversion60m,time_exit_1545,17,-301.20294117647063,0.0,0.47058823529411764
RQ1_ML,time_exit_1545,17,-60.10588235294119,9.999999999999886,0.5294117647058824
