strategy,policy,exit_reason,trades,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,share_of_policy_trades
MeanReversion60m,breakeven_after_50,breakeven_stop,8,-56.75343749999997,-47.88750000000002,-0.0532353731346592,0.47058823529411764
MeanReversion60m,breakeven_after_50,close,2,2179.575,2179.575,2.168005505505506,0.11764705882352941
MeanReversion60m,breakeven_after_50,initial_stop,7,-458.25375,-477.07499999999993,-0.5275794483966306,0.4117647058823529
MeanReversion60m,hold_to_close,close,17,570.0823529411764,252.99999999999997,0.5590996505727012,1.0
MeanReversion60m,stop40_tp80,stop,10,-374.62965,-386.775,-0.4327605636728471,0.5882352941176471
MeanReversion60m,stop40_tp80,target,7,812.8965,705.225,0.7057787269487118,0.4117647058823529
MeanReversion60m,stop50_only,close,6,1925.8500000000001,1728.5000000000002,1.88740776557995,0.35294117647058826
MeanReversion60m,stop50_only,stop,11,-470.3807954545455,-477.07499999999993,-0.5291661001982185,0.6470588235294118
MeanReversion60m,stop50_tp100,close,1,123.50000000000006,123.50000000000006,0.06284987277353693,0.058823529411764705
MeanReversion60m,stop50_tp100,stop,9,-463.3806944444445,-477.07499999999993,-0.5294297366172497,0.5294117647058824
MeanReversion60m,stop50_tp100,target,7,878.6850000000001,894.7500000000001,0.8949761166883047,0.4117647058823529
MeanReversion60m,stop60_tp120,close,1,123.50000000000006,123.50000000000006,0.06284987277353693,0.058823529411764705
MeanReversion60m,stop60_tp120,stop,8,-548.29625,-569.7049999999999,-0.6223816552609087,0.47058823529411764
MeanReversion60m,stop60_tp120,target,8,1044.3605625000002,992.7150000000001,1.0846188928325573,0.47058823529411764
MeanReversion60m,time_exit_1530,time_15:30,17,109.18529411764709,112.29999999999995,0.06748266354212733,1.0
MeanReversion60m,time_exit_1545,time_15:45,17,268.87941176470594,-91.49999999999997,0.2367411868089,1.0
MeanReversion60m,tp100_only,close,6,-417.6666666666667,-743.2500000000001,-0.5433262904925259,0.35294117647058826
MeanReversion60m,tp100_only,target,11,857.1218181818182,838.0500000000001,0.8950690694699297,0.6470588235294118
MeanReversion60m,trail25_after_50,initial_stop,7,-458.25375,-477.07499999999993,-0.5275794483966306,0.4117647058823529
MeanReversion60m,trail25_after_50,trailing_stop,10,354.85875000000004,365.08125000000007,0.3127553750108347,0.5882352941176471
RQ1_ML,breakeven_after_50,breakeven_stop,7,-57.71999999999996,-51.300000000000054,-0.05301234820955817,0.4117647058823529
RQ1_ML,breakeven_after_50,close,3,1864.6666666666667,1334.5000000000005,1.8836233973951593,0.17647058823529413
RQ1_ML,breakeven_after_50,initial_stop,7,-497.15625,-488.65125,-0.5275536909472374,0.4117647058823529
RQ1_ML,hold_to_close,close,17,561.8235294117648,253.50000000000006,0.5348464936547819,1.0
RQ1_ML,stop40_tp80,stop,9,-401.0725,-400.77150000000006,-0.43273108743156596,0.5294117647058824
RQ1_ML,stop40_tp80,target,8,784.3411874999999,692.17875,0.7059871226421113,0.47058823529411764
RQ1_ML,stop50_only,close,8,1630.43125,1284.6750000000002,1.6195473681732342,0.47058823529411764
RQ1_ML,stop50_only,stop,9,-501.57500000000005,-499.125,-0.5274876748256031,0.5294117647058824
RQ1_ML,stop50_tp100,close,1,123.50000000000006,123.50000000000006,0.06284987277353693,0.058823529411764705
RQ1_ML,stop50_tp100,stop,8,-498.78046875,-493.888125,-0.527520332292011,0.47058823529411764
RQ1_ML,stop50_tp100,target,8,861.556875,865.4549999999999,0.8952624548807783,0.47058823529411764
RQ1_ML,stop60_tp120,close,2,188.50000000000006,188.50000000000006,0.18996152175262215,0.11764705882352941
RQ1_ML,stop60_tp120,stop,8,-588.51175,-582.7249999999999,-0.6223933973605896,0.47058823529411764
RQ1_ML,stop60_tp120,target,7,1069.3965000000003,1078.5525,1.0850591264725151,0.4117647058823529
RQ1_ML,time_exit_1530,time_15:30,17,87.05294117647065,112.29999999999995,0.08110430466579803,1.0
RQ1_ML,time_exit_1545,time_15:45,17,501.71764705882356,355.0,0.4593939110036007,1.0
RQ1_ML,tp100_only,close,7,-487.8571428571428,-883.8,-0.5540924117979371,0.4117647058823529
RQ1_ML,tp100_only,target,10,858.8399999999999,853.6424999999999,0.8952908679334467,0.5882352941176471
RQ1_ML,trail25_after_50,initial_stop,7,-497.15625,-488.65125,-0.5275536909472374,0.4117647058823529
RQ1_ML,trail25_after_50,trailing_stop,10,455.6025000000001,422.23124999999993,0.44165602086243905,0.5882352941176471
