session_date,ticker,http_status,bars_in_window,api_status
2024-12-20,O:SPX241220C05675000,200,0,OK
2024-12-20,O:SPX241220P05675000,200,0,OK
2025-01-02,O:SPXW250102C05845000,200,63,OK
2025-01-02,O:SPXW250102C05850000,200,65,OK
2025-01-02,O:SPXW250102C05855000,200,65,OK
2025-01-02,O:SPXW250102C05860000,200,65,OK
2025-01-02,O:SPXW250102C05865000,200,65,OK
2025-01-02,O:SPXW250102C05870000,200,66,OK
2025-01-02,O:SPXW250102C05875000,200,65,OK
2025-01-02,O:SPXW250102P05815000,200,58,OK
2025-01-02,O:SPXW250102P05820000,200,65,OK
2025-01-02,O:SPXW250102P05825000,200,64,OK
2025-01-02,O:SPXW250102P05830000,200,64,OK
2025-01-02,O:SPXW250102P05835000,200,65,OK
2025-01-02,O:SPXW250102P05840000,200,65,OK
2025-01-02,O:SPXW250102P05845000,200,65,OK
2025-01-14,O:SPXW250114C05825000,200,65,OK
2025-01-14,O:SPXW250114C05830000,200,65,OK
2025-01-14,O:SPXW250114C05835000,200,66,OK
2025-01-14,O:SPXW250114C05840000,200,65,OK
2025-01-14,O:SPXW250114C05845000,200,65,OK
2025-01-14,O:SPXW250114C05850000,200,65,OK
2025-01-14,O:SPXW250114C05855000,200,65,OK
2025-01-14,O:SPXW250114P05795000,200,63,OK
2025-01-14,O:SPXW250114P05800000,200,64,OK
2025-01-14,O:SPXW250114P05805000,200,65,OK
2025-01-14,O:SPXW250114P05810000,200,65,OK
2025-01-14,O:SPXW250114P05815000,200,64,OK
2025-01-14,O:SPXW250114P05820000,200,65,OK
2025-01-14,O:SPXW250114P05825000,200,66,OK
2025-04-02,O:SPXW250402C05635000,200,63,OK
2025-04-02,O:SPXW250402C05640000,200,65,OK
2025-04-02,O:SPXW250402C05645000,200,65,OK
2025-04-02,O:SPXW250402C05650000,200,65,OK
2025-04-02,O:SPXW250402C05655000,200,65,OK
2025-04-02,O:SPXW250402C05660000,200,65,OK
2025-04-02,O:SPXW250402C05665000,200,65,OK
2025-04-02,O:SPXW250402P05605000,200,58,OK
2025-04-02,O:SPXW250402P05610000,200,62,OK
2025-04-02,O:SPXW250402P05615000,200,60,OK
2025-04-02,O:SPXW250402P05620000,200,62,OK
2025-04-02,O:SPXW250402P05625000,200,63,OK
2025-04-02,O:SPXW250402P05630000,200,64,OK
2025-04-02,O:SPXW250402P05635000,200,62,OK
2025-04-11,O:SPXW250411C05340000,200,65,OK
