session_date,option_ticker,entry_execution_price,stop50_touched,stop50_first_touch,tp50_touched,tp50_first_touch,tp100_touched,tp100_first_touch,stop_before_tp100,tp100_before_stop,after_stop_recovered_to_entry,after_stop_reached_plus50,after_stop_reached_plus100,close_profitable_vs_entry,max_favorable_excursion,max_adverse_excursion,max_return_after_first_tp100,close_return_reference
2025-01-02,O:SPXW250102C05845000,9.3765,False,,True,2025-01-02 15:03:00-05:00,True,2025-01-02 15:04:00-05:00,False,True,False,False,False,True,2.4597131125686555,-0.050818535700954515,2.4597131125686555,1.4422759025222631
2025-01-14,O:SPXW250114C05825000,9.45,True,2025-01-14 15:02:00-05:00,True,2025-01-14 15:51:00-05:00,False,,True,False,True,True,False,True,0.7883597883597884,-0.798941798941799,,0.7777777777777779
2025-04-02,O:SPXW250402C05635000,9.975,False,,True,2025-04-02 15:01:00-04:00,True,2025-04-02 15:28:00-04:00,False,True,False,False,False,True,3.3208020050125313,-0.04761904761904756,3.3208020050125313,3.2476190476190476
2025-04-11,O:SPXW250411C05340000,19.634999999999998,False,,True,2025-04-11 15:03:00-04:00,False,,False,False,False,False,False,True,0.9261522790934558,-0.05271199388846426,,0.1204481792717087
2025-04-14,O:SPXW250414C05425000,9.9225,True,2025-04-14 15:49:00-04:00,True,2025-04-14 15:06:00-04:00,True,2025-04-14 15:13:00-04:00,False,True,False,False,False,False,1.2474174855127238,-0.9979843789367598,1.2171831695641222,-0.9949609473418998
2025-05-07,O:SPXW250507C05625000,14.28,True,2025-05-07 15:11:00-04:00,True,2025-05-07 15:42:00-04:00,False,,True,False,True,True,False,False,0.6876750700280114,-0.957983193277311,,-0.5966386554621849
2025-11-06,O:SPXW251106P06750000,7.245,False,,True,2025-11-06 15:31:00-05:00,True,2025-11-06 15:43:00-05:00,False,True,False,False,False,True,3.5728088336783994,-0.4616977225672878,3.5728088336783994,3.1407867494824018
2025-11-20,O:SPXW251120P06595000,14.8155,False,,True,2025-11-20 15:01:00-05:00,True,2025-11-20 15:34:00-05:00,False,True,False,False,False,True,3.0342884141608453,-0.04829401640174147,3.0342884141608453,2.8810705004893524
2026-02-04,O:SPXW260204P06905000,9.66,True,2026-02-04 15:47:00-05:00,True,2026-02-04 15:11:00-05:00,True,2026-02-04 15:55:00-05:00,True,False,True,True,True,True,1.6987577639751552,-0.6583850931677019,1.6987577639751552,1.1252587991718426
2026-02-05,O:SPXW260205P06810000,9.2505,True,2026-02-05 15:07:00-05:00,True,2026-02-05 15:23:00-05:00,True,2026-02-05 15:35:00-05:00,True,False,True,True,True,True,1.8279552456623964,-0.7135289984325173,1.8279552456623964,0.12426355332144201
2026-02-11,O:SPXW260211C06950000,4.9350000000000005,True,2026-02-11 15:22:00-05:00,False,,False,,True,False,False,False,False,False,0.13475177304964525,-0.9979736575481256,,-0.9898682877406282
2026-02-17,O:SPXW260217P06855000,7.9799999999999995,False,,True,2026-02-17 15:31:00-05:00,True,2026-02-17 15:31:00-05:00,False,True,False,False,False,True,1.1679197994987471,-0.3859649122807016,1.1679197994987471,0.39097744360902253
2026-03-03,O:SPXW260303C06825000,10.122,True,2026-03-03 15:17:00-05:00,False,,False,,True,False,False,False,False,False,0.420667852203122,-0.9990120529539617,,-0.9950602647698084
2026-03-05,O:SPXW260305P06785000,8.82,True,2026-03-05 15:08:00-05:00,False,,False,,True,False,False,False,False,False,0.4058956916099774,-0.9977324263038548,,-0.9965986394557823
2026-03-06,O:SPXW260306P06765000,10.184999999999999,False,,True,2026-03-06 15:10:00-05:00,True,2026-03-06 15:11:00-05:00,False,True,False,False,False,True,2.858615611192931,-0.420716740304369,2.858615611192931,1.4349533627884146
2026-03-09,O:SPXW260309P06715000,9.03,True,2026-03-09 15:12:00-04:00,False,,False,,True,False,False,False,False,False,0.07419712070874862,-0.9966777408637874,,-0.9944629014396457
2026-03-13,O:SPXW260313P06650000,7.35,False,,True,2026-03-13 15:05:00-04:00,True,2026-03-13 15:21:00-04:00,False,True,False,False,False,True,2.5782312925170072,-0.061224489795918324,2.5782312925170072,1.4489795918367347
